Date,Action,Price,Reason,Profit,Capital
2026-01-06,BUY,1685.0,MACD上抜け,0.0,1.0
2026-01-20,SELL,1786.0,トレーリングストップ,101.0,1.0599
2026-01-27,BUY,1741.0,押し目買い,0.0,1.0599
2026-02-12,SELL,2009.2,トレーリングストップ,268.2,1.2232
2026-03-02,BUY,2201.0,MACD上抜け,0.0,1.2232
2026-03-03,SELL,2198.3,トレーリングストップ,-2.7,1.2217
2026-03-12,BUY,2080.0,ゴールデンクロス,0.0,1.2217
2026-03-19,SELL,2500.4,トレーリングストップ,420.4,1.4687
2026-04-07,BUY,2423.0,ゴールデンクロス,0.0,1.4687
2026-04-14,SELL,2690.4,トレーリングストップ,267.4,1.6307
2026-05-01,BUY,2520.0,押し目買い,0.0,1.6307
2026-05-12,SELL,2840.5,トレーリングストップ,320.5,1.8381
