Date,Action,Price,Reason,Profit,Capital
2025-12-24,BUY,10160.0,MACD上抜け,0.0,1.0
2025-12-29,SELL,10844.2,トレーリングストップ,684.2,1.0673
2026-02-16,BUY,23030.0,MACD上抜け,0.0,1.0673
2026-02-18,SELL,21800.0,ハードストップ,-1230.0,1.0103
2026-03-17,BUY,23280.0,ゴールデンクロス,0.0,1.0103
2026-03-19,SELL,22116.0,ハードストップ,-1164.0,0.9598
2026-03-25,BUY,21565.0,押し目買い,0.0,0.9598
2026-03-27,SELL,19300.0,ハードストップ,-2265.0,0.859
2026-04-07,BUY,23300.0,ゴールデンクロス,0.0,0.859
2026-04-15,SELL,33250.0,トレーリングストップ,9950.0,1.2258
2026-06-16,BUY,93910.0,MACD上抜け,0.0,1.2258
2026-06-22,HOLDING,108700.0,POS_OPEN,0.0,1.2258
