Date,Action,Price,Reason,Profit,Capital
2026-02-20,BUY,2022.4,MACD上抜け,0.0,1.0
2026-03-04,SELL,1912.3,ハードストップ,-110.1,0.9456
2026-03-31,BUY,1944.0,MACD上抜け,0.0,0.9456
2026-04-24,SELL,2007.0,モメンタム利確(MACDデッドクロス),63.0,0.9762
2026-04-27,BUY,1999.0,押し目買い,0.0,0.9762
2026-06-01,SELL,2367.4,トレーリングストップ,368.4,1.1561
2026-06-05,BUY,2300.0,押し目買い,0.0,1.1561
2026-06-16,SELL,2484.2,トレーリングストップ,184.2,1.2487
2026-06-23,BUY,2520.0,MACD上抜け,0.0,1.2487
2026-07-06,SELL,2645.0,モメンタム利確(MACDデッドクロス),125.0,1.3106
2026-07-09,BUY,2749.0,MACD上抜け,0.0,1.3106
2026-07-31,SELL,2930.8,トレーリングストップ,181.8,1.3973
2026-08-07,BUY,2801.0,押し目買い,0.0,1.3973
2026-08-14,HOLDING,2783.0,POS_OPEN,0.0,1.3973
