Date,Action,Price,Reason,Profit,Capital
2025-12-24,BUY,3310.0,MACD上抜け,0.0,1.0
2026-01-20,SELL,3429.5,トレーリングストップ,119.5,1.0361
2026-01-21,BUY,3370.0,押し目買い,0.0,1.0361
2026-01-30,SELL,3201.5,ハードストップ,-168.5,0.9843
2026-02-26,BUY,2910.0,MACD上抜け,0.0,0.9843
2026-03-03,SELL,3244.2,トレーリングストップ,334.2,1.0973
2026-03-17,BUY,3025.0,押し目買い,0.0,1.0973
2026-03-19,SELL,2873.8,ハードストップ,-151.2,1.0425
2026-04-07,BUY,2929.0,MACD上抜け,0.0,1.0425
2026-05-12,SELL,3177.8,トレーリングストップ,248.8,1.131
2026-06-03,BUY,3005.0,MACD上抜け,0.0,1.131
2026-06-03,HOLDING,2951.0,POS_OPEN,0.0,1.131
