Ticker,Initial_Capital,Final_Capital,Total_Profit_JPY,Profit_Rate_Pct,Trade_Count
5857.T,1.0,1.0333,0,3.33,3
3993.T,1.0,1.0732,0,7.32,3
7182.T,1.0,0.9912,0,-0.88,2
6232.T,1.0,1.0132,0,1.32,3
5803.T,1.0,1.0294,0,2.94,3
7453.T,1.0,1.0388,0,3.88,2
290A.T,1.0,1.0407,0,4.07,3
6326.T,1.0,0.9717,0,-2.83,3
6629.T,1.0,0.9757,0,-2.43,1
4704.T,1.0,1.0016,0,0.16,4
6383.T,1.0,0.9769,0,-2.31,2
6804.T,1.0,0.9714,0,-2.86,3
464A.T,1.0,0.9412,0,-5.88,4
4425.T,1.0,1.0734,0,7.34,3
186A.T,1.0,1.0685,0,6.85,2
3692.T,1.0,0.9784,0,-2.16,2
4417.T,1.0,0.972,0,-2.8,2
6758.T,1.0,0.9616,0,-3.84,3
6864.T,1.0,1.0246,0,2.46,3
8316.T,1.0,1.002,0,0.2,1
1605.T,1.0,1.0404,0,4.04,2
1893.T,1.0,0.9966,0,-0.34,5
9412.T,1.0,1.0331,0,3.31,2
4258.T,1.0,1.0955,0,9.55,4
9984.T,1.0,1.0103,0,1.03,2
6981.T,1.0,0.9978,0,-0.22,5
8306.T,1.0,1.0124,0,1.24,3
6954.T,1.0,0.9606,0,-3.94,4
7711.T,1.0,1.0523,0,5.23,2
7409.T,1.0,0.9857,0,-1.43,3
6838.T,1.0,1.0391,0,3.91,2
6613.T,1.0,0.9915,0,-0.85,1
3132.T,1.0,0.9513,0,-4.87,2
