Date,Action,Price,Reason,Profit,Capital
2025-12-18,SHORT_SELL,3794.2,デッドクロス,0.0,1.0
2025-12-18,BUY_BACK,3800.2,当日引け決済,-6.0,0.9984
2026-03-10,SHORT_SELL,4686.7,デッドクロス,0.0,0.9984
2026-03-10,BUY_BACK,4634.8,当日引け決済,51.9,1.0095
2026-03-24,SHORT_SELL,4586.9,デッドクロス,0.0,1.0095
2026-03-24,BUY_BACK,4417.4,当日引け決済,169.5,1.0468
2026-04-20,SHORT_SELL,4511.0,デッドクロス,0.0,1.0468
2026-04-20,BUY_BACK,4506.0,当日引け決済,5.0,1.0479
2026-05-11,SHORT_SELL,4500.0,デッドクロス,0.0,1.0479
2026-05-11,BUY_BACK,4384.0,当日引け決済,116.0,1.075
