Date,Action,Price,Reason,Profit,Capital
2025-12-22,SHORT_SELL,3234.5,デッドクロス,0.0,1.0
2025-12-22,BUY_BACK,3174.1,当日引け決済,60.4,1.0187
2026-01-14,SHORT_SELL,3276.1,デッドクロス,0.0,1.0187
2026-01-14,BUY_BACK,3412.8,当日引け決済,-136.7,0.9762
2026-01-29,SHORT_SELL,3127.5,デッドクロス,0.0,0.9762
2026-01-29,BUY_BACK,3105.7,当日引け決済,21.8,0.983
2026-02-13,SHORT_SELL,3194.9,デッドクロス,0.0,0.983
2026-02-13,BUY_BACK,3228.5,当日引け決済,-33.6,0.9726
2026-03-24,SHORT_SELL,3603.0,デッドクロス,0.0,0.9726
2026-03-24,BUY_BACK,3509.9,当日引け決済,93.1,0.9978
