Date,Action,Price,Reason,Profit,Capital
2025-12-24,BUY,10160.0,MACD上抜け,0.0,1.0
2026-02-02,SELL,18892.8,トレーリングストップ,8732.8,1.8595
2026-02-16,BUY,23030.0,MACD上抜け,0.0,1.8595
2026-02-20,SELL,20242.7,ハードストップ,-2787.3,1.6345
2026-03-17,BUY,23280.0,ゴールデンクロス,0.0,1.6345
2026-03-24,SELL,20644.4,ハードストップ,-2635.6,1.4494
2026-03-25,BUY,21565.0,押し目買い,0.0,1.4494
2026-03-31,SELL,18805.0,ハードストップ,-2760.0,1.2639
2026-04-07,BUY,23300.0,ゴールデンクロス,0.0,1.2639
2026-05-15,SELL,43334.2,トレーリングストップ,20034.2,2.3507
2026-06-16,BUY,93910.0,MACD上抜け,0.0,2.3507
2026-06-22,HOLDING,108700.0,POS_OPEN,0.0,2.3507
