Date,Action,Price,Reason,Profit,Capital
2026-02-10,BUY,6719.9,MACD上抜け,0.0,1.0
2026-02-13,SELL,6338.8,ハードストップ,-381.1,0.9433
2026-02-24,BUY,6393.2,ゴールデンクロス,0.0,0.9433
2026-03-03,SELL,6542.8,トレーリングストップ,149.6,0.9654
2026-04-09,BUY,6024.0,MACD上抜け,0.0,0.9654
2026-04-30,SELL,6705.0,トレーリングストップ,681.0,1.0745
2026-05-25,BUY,8348.0,MACD上抜け,0.0,1.0745
2026-06-02,SELL,7635.6,ハードストップ,-712.4,0.9828
2026-06-08,BUY,7000.0,押し目買い,0.0,0.9828
2026-06-11,SELL,6354.0,ハードストップ,-646.0,0.8921
2026-06-23,BUY,7935.0,MACD上抜け,0.0,0.8921
2026-06-25,SELL,7343.0,ハードストップ,-592.0,0.8255
2026-07-07,BUY,7335.0,MACD上抜け,0.0,0.8255
2026-07-09,SELL,6789.0,ハードストップ,-546.0,0.7641
2026-08-03,BUY,6385.0,MACD上抜け,0.0,0.7641
2026-08-07,HOLDING,6535.0,POS_OPEN,0.0,0.7641
