Date,Action,Price,Reason,Profit,Capital
2025-12-25,BUY,2208.8,押し目買い,0.0,1.0
2026-01-19,SELL,2431.8,トレーリングストップ,223.0,1.101
2026-02-03,BUY,2380.0,押し目買い,0.0,1.101
2026-02-16,SELL,3020.8,トレーリングストップ,640.8,1.3974
2026-04-09,BUY,2696.5,MACD上抜け,0.0,1.3974
2026-04-23,SELL,2536.0,ハードストップ,-160.5,1.3142
2026-05-08,BUY,2700.0,MACD上抜け,0.0,1.3142
2026-05-20,SELL,2719.7,トレーリングストップ,19.7,1.3238
2026-05-25,BUY,2745.5,押し目買い,0.0,1.3238
2026-06-08,SELL,2753.4,トレーリングストップ,7.9,1.3276
2026-06-11,BUY,2698.0,押し目買い,0.0,1.3276
2026-06-11,HOLDING,2701.5,POS_OPEN,0.0,1.3276
