Date,Open,High,Low,Close
2025-07-28 00:00:00+09:00,2289.0,2320.0,2208.0,2218.0
2025-07-29 00:00:00+09:00,2180.0,2180.0,2092.0,2113.0
2025-07-30 00:00:00+09:00,2139.0,2142.0,2063.0,2063.0
2025-07-31 00:00:00+09:00,2078.0,2087.0,2003.0,2011.0
2025-08-01 00:00:00+09:00,2050.0,2064.0,1996.0,2009.0
2025-08-04 00:00:00+09:00,1950.0,2037.0,1947.0,2024.0
2025-08-05 00:00:00+09:00,2030.0,2058.0,2001.0,2013.0
2025-08-06 00:00:00+09:00,2018.0,2056.0,1998.0,2031.0
2025-08-07 00:00:00+09:00,2013.0,2023.0,1981.0,2004.0
2025-08-08 00:00:00+09:00,2014.0,2048.0,2004.0,2025.0
2025-08-12 00:00:00+09:00,2034.0,2035.0,1993.0,2020.0
2025-08-13 00:00:00+09:00,2027.0,2035.0,1941.0,1959.0
2025-08-14 00:00:00+09:00,1937.0,1959.0,1927.0,1943.0
2025-08-15 00:00:00+09:00,1950.0,1992.0,1935.0,1957.0
2025-08-18 00:00:00+09:00,1971.0,2030.0,1969.0,2016.0
2025-08-19 00:00:00+09:00,2007.0,2008.0,1912.0,1924.0
2025-08-20 00:00:00+09:00,1906.0,1915.0,1868.0,1874.0
2025-08-21 00:00:00+09:00,1855.0,1898.0,1832.0,1842.0
2025-08-22 00:00:00+09:00,1824.0,1840.0,1729.0,1742.0
2025-08-25 00:00:00+09:00,1782.0,1799.0,1753.0,1783.0
2025-08-26 00:00:00+09:00,1899.0,1958.0,1844.0,1953.0
2025-08-27 00:00:00+09:00,1953.0,2021.0,1922.0,1972.0
2025-08-28 00:00:00+09:00,1954.0,1981.0,1886.0,1915.0
2025-08-29 00:00:00+09:00,1914.0,1934.0,1890.0,1896.0
2025-09-01 00:00:00+09:00,1860.0,1903.0,1826.0,1865.0
2025-09-02 00:00:00+09:00,1881.0,1923.0,1830.0,1842.0
2025-09-03 00:00:00+09:00,1826.0,1838.0,1765.0,1770.0
2025-09-04 00:00:00+09:00,1759.0,1763.0,1718.0,1742.0
2025-09-05 00:00:00+09:00,1743.0,1772.0,1718.0,1768.0
2025-09-08 00:00:00+09:00,1848.0,1868.0,1740.0,1741.0
2025-09-09 00:00:00+09:00,1753.0,1774.0,1708.0,1728.0
2025-09-10 00:00:00+09:00,1735.0,1820.0,1710.0,1793.0
2025-09-11 00:00:00+09:00,1782.0,1796.0,1743.0,1765.0
2025-09-12 00:00:00+09:00,1834.0,1880.0,1826.0,1870.0
2025-09-16 00:00:00+09:00,1886.0,1908.0,1852.0,1876.0
2025-09-17 00:00:00+09:00,1878.0,1878.0,1817.0,1824.0
2025-09-18 00:00:00+09:00,1811.0,1843.0,1760.0,1780.0
2025-09-19 00:00:00+09:00,1796.0,1860.0,1770.0,1853.0
2025-09-22 00:00:00+09:00,1850.0,1863.0,1771.0,1771.0
2025-09-24 00:00:00+09:00,1757.0,1757.0,1720.0,1722.0
2025-09-25 00:00:00+09:00,1705.0,1705.0,1652.0,1653.0
2025-09-26 00:00:00+09:00,1693.0,1716.0,1673.0,1700.0
2025-09-29 00:00:00+09:00,1733.0,1742.0,1711.0,1723.0
2025-09-30 00:00:00+09:00,1715.0,1722.0,1690.0,1701.0
2025-10-01 00:00:00+09:00,1700.0,1745.0,1674.0,1678.0
2025-10-02 00:00:00+09:00,1666.0,1706.0,1627.0,1635.0
2025-10-03 00:00:00+09:00,1609.0,1660.0,1607.0,1648.0
2025-10-06 00:00:00+09:00,1968.0,2048.0,1860.0,2048.0
2025-10-07 00:00:00+09:00,2048.0,2116.0,1965.0,1985.0
2025-10-08 00:00:00+09:00,1950.0,1997.0,1925.0,1985.0
2025-10-09 00:00:00+09:00,2018.0,2035.0,1988.0,2010.0
2025-10-10 00:00:00+09:00,1981.0,2023.0,1902.0,1960.0
2025-10-14 00:00:00+09:00,1823.0,1900.0,1750.0,1757.0
2025-10-15 00:00:00+09:00,1779.0,1930.0,1772.0,1898.0
2025-10-16 00:00:00+09:00,1960.0,2017.0,1924.0,2017.0
2025-10-17 00:00:00+09:00,1967.0,1980.0,1923.0,1948.0
2025-10-20 00:00:00+09:00,2024.0,2035.0,1976.0,2030.0
2025-10-21 00:00:00+09:00,2042.0,2049.0,1882.0,1950.0
2025-10-22 00:00:00+09:00,1930.0,1949.0,1898.0,1920.0
2025-10-23 00:00:00+09:00,1902.0,1938.0,1896.0,1896.0
2025-10-24 00:00:00+09:00,1935.0,2048.0,1927.0,1981.0
2025-10-27 00:00:00+09:00,2031.0,2048.0,1988.0,1996.0
2025-10-28 00:00:00+09:00,1988.0,1988.0,1901.0,1901.0
2025-10-29 00:00:00+09:00,1931.0,1931.0,1837.0,1861.0
2025-10-30 00:00:00+09:00,1842.0,1948.0,1840.0,1942.0
2025-10-31 00:00:00+09:00,1925.0,1938.0,1888.0,1895.0
2025-11-04 00:00:00+09:00,1905.0,2000.0,1891.0,1971.0
2025-11-05 00:00:00+09:00,1885.0,1974.0,1857.0,1957.0
2025-11-06 00:00:00+09:00,1970.0,2025.0,1966.0,1999.0
2025-11-07 00:00:00+09:00,1999.0,2010.0,1978.0,1990.0
2025-11-10 00:00:00+09:00,2000.0,2002.0,1933.0,1935.0
2025-11-11 00:00:00+09:00,1962.0,1980.0,1892.0,1892.0
2025-11-12 00:00:00+09:00,1893.0,1926.0,1874.0,1902.0
2025-11-13 00:00:00+09:00,1900.0,1905.0,1860.0,1872.0
2025-11-14 00:00:00+09:00,1837.0,1854.0,1800.0,1800.0
