Date,Open,High,Low,Close
2025-08-12 00:00:00+09:00,1785.657642681951,1796.03937316266,1771.815335374339,1776.2646484375
2025-08-13 00:00:00+09:00,1778.2420596022102,1801.9717284542833,1766.3772251761739,1770.8265380859375
2025-08-14 00:00:00+09:00,1759.9505004710834,1774.781544014379,1747.591297518337,1754.512451171875
2025-08-15 00:00:00+09:00,1735.232094632793,1776.2646484375,1735.232094632793,1776.2646484375
2025-08-18 00:00:00+09:00,1788.1294888583097,1823.723993474787,1782.6914395419035,1816.3084716796875
2025-08-19 00:00:00+09:00,1809.38729552716,1812.353504208352,1783.6801536234955,1786.6463623046875
2025-08-20 00:00:00+09:00,1793.5674754628646,1806.9154142273346,1733.2545669715555,1745.61376953125
2025-08-21 00:00:00+09:00,1755.0067580305567,1758.9617028373862,1743.636291710922,1749.0743408203125
2025-08-22 00:00:00+09:00,1750.06308245274,1752.534922964679,1733.7489350739434,1745.61376953125
2025-08-25 00:00:00+09:00,1766.8715829759622,1788.623779296875,1764.8941105831518,1788.623779296875
2025-08-26 00:00:00+09:00,1779.725185580054,1789.1181796150597,1746.108154296875,1746.108154296875
2025-08-27 00:00:00+09:00,1740.175725478298,1748.0856151395633,1722.378473740452,1731.277099609375
2025-08-28 00:00:00+09:00,1740.175792322137,1754.512467883882,1730.2884298657614,1744.1307373046875
2025-08-29 00:00:00+09:00,1740.1757303136771,1742.153202734488,1706.0643310546875,1706.0643310546875
2025-09-01 00:00:00+09:00,1694.693853856647,1717.929154653398,1680.851546999008,1712.9854736328125
2025-09-02 00:00:00+09:00,1730.28834674468,1744.1306535186375,1723.3671933577014,1730.78271484375
2025-09-03 00:00:00+09:00,1724.8503030516042,1741.1644503719547,1720.400990146054,1727.3221435546875
2025-09-04 00:00:00+09:00,1736.715111669225,1775.7701910378184,1733.748903109585,1766.377197265625
2025-09-05 00:00:00+09:00,1779.7252363040125,1805.9267467273771,1776.7590275768391,1801.9718017578125
2025-09-08 00:00:00+09:00,1841.026777464768,1843.4986179286036,1820.2633175685487,1835.0943603515625
2025-09-09 00:00:00+09:00,1835.094421728972,1860.8015634126753,1817.7915379034025,1851.4085693359375
2025-09-10 00:00:00+09:00,1823.7239426832932,1829.1619918482475,1793.0731201171875,1793.0731201171875
2025-09-11 00:00:00+09:00,1792.5787465710134,1807.9041578075553,1784.66885690054,1796.53369140625
2025-09-12 00:00:00+09:00,1826.195772521456,1827.1845087274774,1803.9492078859755,1810.870361328125
2025-09-16 00:00:00+09:00,1829.1619764583754,1857.8353263596148,1826.690135949648,1836.0831298828125
2025-09-17 00:00:00+09:00,1829.1619643040005,1831.1394366978427,1808.3985041686578,1810.3759765625
2025-09-18 00:00:00+09:00,1823.2295814657339,1843.9930419921875,1811.364746879189,1843.9930419921875
2025-09-19 00:00:00+09:00,1853.8803647157158,1872.6663524115017,1823.2295426857493,1835.5887451171875
2025-09-22 00:00:00+09:00,1836.0831854875632,1871.6776898911994,1826.1958231532199,1855.85791015625
2025-09-24 00:00:00+09:00,1863.7676982179316,1872.1719557430522,1831.139404296875,1831.139404296875
2025-09-25 00:00:00+09:00,1854.3747400938364,1878.1044088553679,1849.4310591018507,1875.632568359375
2025-09-26 00:00:00+09:00,1890.4636618511063,1906.2834414481867,1873.6551460292085,1887.9918212890625
2025-09-29 00:00:00+09:00,1891.9466910197816,1895.4072676691515,1831.6337837021927,1835.0943603515625
