Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MACD,MACD_Signal,MACD_Hist,ATR
2025-09-01,1028.0,1044.0,1020.0,1044.0,,,,0.0,0.0,0.0,
2025-09-02,1040.0,1045.0,1023.0,1027.0,,,,-1.4,-0.3,-1.1,
2025-09-03,1020.0,1021.0,1005.0,1006.0,,,,-4.1,-1.0,-3.0,
2025-09-04,1008.0,1020.0,1005.0,1020.0,,,,-5.0,-1.8,-3.2,
2025-09-05,1016.0,1028.0,1013.0,1025.0,1024.4,,,-5.4,-2.5,-2.8,
2025-09-08,1026.0,1057.0,1026.0,1048.0,1025.2,,,-3.7,-2.8,-0.9,
2025-09-09,1049.0,1055.0,1027.0,1029.0,1025.6,,,-3.9,-3.0,-0.9,
2025-09-10,1038.0,1040.0,1024.0,1033.0,1031.0,,,-3.6,-3.1,-0.5,
2025-09-11,1030.0,1040.0,1016.0,1016.0,1030.2,,,-4.8,-3.5,-1.3,
2025-09-12,1022.0,1025.0,1012.0,1017.0,1028.6,,,-5.5,-3.9,-1.7,
2025-09-16,1015.0,1038.0,1015.0,1037.0,1026.4,,,-4.5,-4.0,-0.5,
2025-09-17,1038.0,1038.0,1015.0,1037.0,1028.0,,,-3.6,-3.9,0.3,
2025-09-18,1040.0,1042.0,1008.0,1011.0,1023.6,,,-4.9,-4.1,-0.8,
2025-09-19,1012.0,1045.0,1012.0,1045.0,1029.4,,,-3.2,-3.9,0.7,23.2
2025-09-22,1050.0,1065.0,1047.0,1060.0,1038.0,,,-0.6,-3.3,2.6,22.9
2025-09-24,1060.0,1060.0,1038.0,1039.0,1038.4,,,-0.3,-2.7,2.4,22.9
2025-09-25,1038.0,1040.0,1015.0,1017.0,1034.4,,,-1.7,-2.5,0.7,23.1
2025-09-26,1016.0,1041.0,1006.0,1035.0,1039.2,,,-1.4,-2.3,0.8,24.6
2025-09-29,1035.0,1035.0,1007.0,1016.0,1033.4,,,-2.7,-2.4,-0.3,25.5
2025-09-30,1019.0,1034.0,1016.0,1016.0,1024.6,,,-3.7,-2.6,-1.0,24.5
2025-10-01,1016.0,1016.0,988.0,991.0,1015.0,,,-6.4,-3.4,-3.0,24.5
2025-10-02,992.0,1007.0,992.0,1000.0,1011.6,,,-7.7,-4.2,-3.5,24.5
2025-10-03,996.0,1030.0,996.0,1020.0,1008.6,,,-7.1,-4.8,-2.3,25.2
2025-10-06,1035.0,1055.0,1023.0,1034.0,1012.2,,,-5.4,-4.9,-0.4,26.8
2025-10-07,1025.0,1058.0,1016.0,1037.0,1016.4,1026.4,,-3.7,-4.7,1.0,28.1
2025-10-08,1036.0,1039.0,1013.0,1013.0,1020.8,1025.2,,-4.3,-4.6,0.3,28.4
2025-10-09,1013.0,1019.0,1005.0,1012.0,1023.2,1024.6,,-4.8,-4.6,-0.2,26.9
2025-10-10,1005.0,1010.0,987.0,1000.0,1019.2,1024.3,,-6.1,-4.9,-1.2,26.3
2025-10-14,985.0,998.0,965.0,981.0,1008.6,1022.8,,-8.6,-5.7,-2.9,27.4
2025-10-15,982.0,1048.0,982.0,1048.0,1010.8,1023.7,,-5.0,-5.5,0.5,30.6
2025-10-16,1047.0,1060.0,1034.0,1043.0,1016.8,1023.5,,-2.6,-5.0,2.3,30.6
2025-10-17,1029.0,1048.0,991.0,1000.0,1014.4,1022.3,,-4.1,-4.8,0.7,32.2
2025-10-20,1006.0,1019.0,993.0,997.0,1013.8,1020.9,,-5.5,-4.9,-0.6,32.1
2025-10-21,999.0,1035.0,988.0,1029.0,1023.4,1021.4,,-4.0,-4.7,0.8,34.1
2025-10-22,1034.0,1040.0,1015.0,1015.0,1016.8,1021.3,,-3.8,-4.6,0.7,33.9
2025-10-23,1001.0,1008.0,993.0,999.0,1008.0,1019.8,,-5.0,-4.6,-0.3,34.4
2025-10-24,1013.0,1015.0,1000.0,1003.0,1008.6,1018.4,,-5.5,-4.8,-0.7,33.1
2025-10-27,1005.0,1018.0,997.0,998.0,1008.8,1017.9,,-6.2,-5.1,-1.1,32.1
2025-10-28,998.0,1000.0,967.0,967.0,996.4,1014.8,,-9.2,-5.9,-3.3,31.4
2025-10-29,971.0,971.0,930.0,937.0,980.8,1009.9,,-13.8,-7.5,-6.3,32.5
