Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MACD,MACD_Signal,MACD_Hist,ATR
2025-08-25,855.0,865.0,851.0,859.0,,,,0.0,0.0,0.0,
2025-08-26,856.0,890.0,851.0,883.0,,,,1.9,0.4,1.5,
2025-08-27,890.0,891.0,868.0,884.0,,,,3.5,1.0,2.5,
2025-08-28,895.0,901.0,856.0,859.0,,,,2.7,1.3,1.3,
2025-08-29,859.0,923.0,858.0,895.0,876.0,,,4.9,2.0,2.8,
2025-09-01,866.0,873.0,830.0,838.0,871.8,,,2.0,2.0,-0.0,
2025-09-02,838.0,866.0,836.0,858.0,866.8,,,1.3,1.9,-0.6,
2025-09-03,855.0,859.0,821.0,827.0,855.4,,,-1.7,1.2,-2.9,
2025-09-04,822.0,833.0,807.0,820.0,847.6,,,-4.6,0.0,-4.6,
2025-09-05,816.0,842.0,812.0,835.0,835.6,,,-5.6,-1.1,-4.5,
2025-09-08,865.0,883.0,843.0,851.0,838.2,,,-5.1,-1.9,-3.2,
2025-09-09,870.0,892.0,839.0,844.0,835.4,,,-5.2,-2.6,-2.6,
2025-09-10,874.0,902.0,855.0,889.0,847.8,,,-1.6,-2.4,0.8,
2025-09-11,890.0,916.0,872.0,886.0,861.0,,,1.0,-1.7,2.7,41.3
2025-09-12,914.0,926.0,878.0,910.0,876.0,,,4.9,-0.4,5.3,43.7
2025-09-16,910.0,917.0,880.0,917.0,889.2,,,8.5,1.4,7.1,43.6
2025-09-17,919.0,919.0,894.0,905.0,901.4,,,10.3,3.2,7.1,43.7
2025-09-18,903.0,939.0,897.0,938.0,911.2,,,14.1,5.4,8.8,43.5
2025-09-19,950.0,993.0,912.0,948.0,923.6,,,17.8,7.9,10.0,44.6
2025-09-22,954.0,965.0,913.0,929.0,927.4,,,19.0,10.1,8.9,43.7
2025-09-24,929.0,942.0,910.0,924.0,928.8,,,19.3,11.9,7.4,43.9
2025-09-25,915.0,920.0,907.0,912.0,930.2,,,18.3,13.2,5.1,42.4
2025-09-26,912.0,929.0,894.0,901.0,922.8,,,16.5,13.9,2.7,43.0
2025-09-29,920.0,927.0,904.0,909.0,915.0,,,15.5,14.2,1.3,42.7
2025-09-30,931.0,940.0,902.0,904.0,910.0,885.0,,14.2,14.2,-0.0,42.0
2025-10-01,918.0,926.0,888.0,889.0,903.0,886.2,,11.8,13.7,-1.9,40.9
2025-10-02,888.0,902.0,861.0,862.0,893.0,885.4,,7.6,12.5,-4.9,39.7
2025-10-03,859.0,905.0,858.0,896.0,892.0,885.8,,7.0,11.4,-4.4,39.9
2025-10-06,971.0,1002.0,933.0,987.0,907.6,891.0,,13.6,11.8,1.8,44.1
2025-10-07,990.0,1000.0,933.0,938.0,914.4,892.7,,14.8,12.4,2.4,46.2
2025-10-08,938.0,952.0,915.0,952.0,927.0,897.2,,16.7,13.3,3.4,47.1
2025-10-09,947.0,982.0,932.0,952.0,945.0,901.0,,17.9,14.2,3.7,47.6
2025-10-10,945.0,951.0,901.0,908.0,947.4,904.2,,15.2,14.4,0.8,45.5
2025-10-14,893.0,898.0,842.0,855.0,921.0,905.6,,8.7,13.3,-4.6,46.5
2025-10-15,870.0,921.0,863.0,915.0,916.4,908.8,,8.2,12.3,-4.0,48.9
2025-10-16,925.0,934.0,899.0,899.0,905.8,910.8,,6.5,11.1,-4.6,50.2
2025-10-17,888.0,890.0,868.0,878.0,891.0,912.1,,3.4,9.6,-6.1,49.9
2025-10-20,892.0,945.0,887.0,945.0,898.4,914.4,,6.3,8.9,-2.6,52.9
2025-10-21,939.0,943.0,901.0,905.0,908.4,915.1,,5.3,8.2,-2.9,53.3
2025-10-22,910.0,929.0,905.0,928.0,911.0,915.8,,6.3,7.8,-1.5,52.3
2025-10-23,930.0,935.0,918.0,934.0,918.0,916.5,,7.5,7.8,-0.3,50.6
2025-10-24,958.0,1050.0,946.0,958.0,934.0,918.6,,10.3,8.3,2.0,55.5
2025-10-27,988.0,988.0,955.0,978.0,940.6,920.2,,13.9,9.4,4.5,50.3
2025-10-28,988.0,997.0,958.0,960.0,951.6,920.7,,15.1,10.5,4.6,48.3
