Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MA_Signal,MACD,MACD_Signal,MACD_Hist,ATR,Is_Weekly_Up
2025-10-24,1634.2,1692.2,1629.8,1687.7,,,,,0.0,0.0,0.0,,False
2025-10-27,1733.3,1736.2,1627.3,1656.5,,,,,-2.5,-0.5,-2.0,,False
2025-10-28,1625.3,1635.2,1564.9,1576.8,,,,,-10.8,-2.6,-8.2,,False
2025-10-29,1599.5,1607.5,1542.1,1575.8,,,,,-17.2,-5.5,-11.7,,False
2025-10-30,1569.3,1605.0,1556.5,1594.1,1618.2,,,,-20.6,-8.5,-12.1,,False
2025-10-31,1587.2,1587.7,1525.8,1562.4,1593.1,,,,-25.6,-11.9,-13.6,,False
2025-11-04,1631.2,1647.1,1586.2,1596.1,1581.0,,,,-26.5,-14.8,-11.6,,False
2025-11-05,1516.8,1533.7,1429.2,1463.4,1558.3,,,,-37.5,-19.4,-18.1,,False
2025-11-06,1508.9,1520.3,1456.9,1474.8,1538.1,,,,-44.7,-24.4,-20.3,,False
2025-11-07,1427.2,1443.6,1401.5,1431.2,1505.6,,,,-53.4,-30.2,-23.2,,False
2025-11-10,1433.6,1478.7,1429.2,1461.9,1485.4,,,,-57.1,-35.6,-21.5,,False
2025-11-11,1479.2,1486.1,1437.1,1458.9,1458.0,,,,-59.6,-40.4,-19.2,,False
2025-11-12,1298.5,1298.5,1161.8,1164.7,1398.3,,,,-84.4,-49.2,-35.2,,False
2025-11-13,1172.7,1220.2,1144.9,1214.3,1346.2,,,,-98.9,-59.1,-39.7,93.2,False
2025-11-14,1213.8,1304.4,1210.3,1292.0,1318.4,,,,-102.9,-67.9,-35.0,95.4,False
2025-11-17,1291.5,1297.5,1236.1,1297.5,1285.5,,,,-104.4,-75.2,-29.2,92.0,False
2025-11-18,1274.7,1279.1,1225.7,1225.7,1238.8,,,,-110.2,-82.2,-28.0,90.6,False
2025-11-19,1210.3,1219.2,1148.9,1148.9,1235.7,,,,-119.5,-89.7,-29.9,91.4,False
2025-11-20,1208.3,1238.0,1159.8,1172.7,1227.3,,,,-123.6,-96.5,-27.2,94.3,False
2025-11-21,1120.2,1173.2,1120.2,1163.3,1201.6,,,,-126.2,-102.4,-23.8,93.2,False
2025-11-25,1193.0,1207.8,1158.8,1158.8,1173.9,,,,-127.1,-107.3,-19.7,90.7,False
2025-11-26,1180.1,1231.1,1175.1,1222.7,1173.3,,,,-121.2,-110.1,-11.1,83.9,False
2025-11-27,1231.1,1236.1,1212.8,1228.1,1189.1,,,,-114.9,-111.1,-3.8,81.1,False
2025-11-28,1230.1,1237.0,1215.8,1221.2,1198.8,,,,-109.1,-110.7,1.6,77.4,False
2025-12-01,1234.1,1256.4,1226.6,1242.0,1214.6,1371.6,,,-101.7,-108.9,7.2,76.3,False
2025-12-02,1256.9,1303.4,1238.0,1247.9,1232.4,1354.1,,,-94.2,-105.9,11.7,77.5,False
2025-12-03,1272.7,1297.5,1264.8,1294.5,1246.8,1339.6,,,-83.6,-101.5,17.9,59.8,False
2025-12-04,1294.5,1340.5,1286.6,1336.6,1268.4,1330.0,,,-71.0,-95.4,24.4,58.3,False
2025-12-05,1332.1,1372.7,1320.2,1366.3,1297.5,1321.6,,,-57.9,-87.9,30.0,55.3,False
2025-12-08,1384.6,1389.6,1350.0,1386.6,1326.4,1313.3,,,-45.4,-79.4,34.0,53.8,False
2025-12-09,1377.7,1405.9,1365.3,1382.1,1353.2,1306.1,,,-35.4,-70.6,35.2,51.5,False
2025-12-10,1400.0,1442.6,1371.3,1384.1,1371.2,1297.6,,,-27.0,-61.9,34.8,51.1,False
2025-12-11,1387.1,1396.5,1334.1,1334.1,1370.7,1292.4,,,-24.2,-54.3,30.2,49.2,False
2025-12-12,1307.4,1347.0,1293.0,1340.5,1365.5,1287.1,,,-21.1,-47.7,26.6,49.3,False
2025-12-15,1281.1,1316.8,1274.7,1300.9,1348.4,1281.9,,,-21.6,-42.5,20.8,50.5,False
2025-12-16,1287.6,1308.4,1264.8,1274.7,1326.9,1274.4,,,-23.9,-38.8,14.9,48.5,False
2025-12-17,1249.4,1337.1,1247.9,1284.6,1307.0,1267.4,,,-24.6,-35.9,11.3,53.2,False
2025-12-18,1228.1,1259.3,1215.3,1256.9,1291.5,1271.1,,,-27.1,-34.2,7.1,56.6,False
2025-12-19,1259.3,1264.3,1239.0,1252.4,1273.9,1272.6,,,-29.1,-33.2,4.1,55.9,False
2025-12-22,1285.1,1352.9,1267.8,1352.9,1284.3,1275.0,,,-22.3,-31.0,8.7,58.4,False
2025-12-23,1348.5,1395.0,1347.0,1386.6,1306.7,1278.6,,,-14.1,-27.6,13.5,58.3,False
2025-12-24,1391.6,1406.4,1347.0,1361.3,1322.0,1284.0,,,-9.5,-24.0,14.5,58.7,False
2025-12-25,1368.3,1428.2,1367.3,1422.3,1355.1,1295.0,,,-0.9,-19.4,18.5,59.7,False
2025-12-26,1435.6,1441.6,1408.9,1421.3,1388.9,1304.9,,,5.8,-14.3,20.1,59.2,False
2025-12-29,1434.7,1445.2,1413.3,1420.3,1402.3,1315.2,,,10.9,-9.3,20.1,58.6,False
2025-12-30,1406.3,1439.7,1404.8,1431.2,1411.3,1326.1,,,15.6,-4.3,19.9,56.0,False
2026-01-05,1474.1,1475.6,1430.2,1445.2,1428.0,1335.0,,,20.2,0.6,19.6,54.8,False
2026-01-06,1475.1,1569.9,1470.6,1532.5,1450.1,1347.2,,,30.6,6.6,24.0,59.8,False
2026-01-07,1572.4,1605.8,1538.5,1551.9,1476.2,1360.4,,,39.9,13.2,26.7,60.4,False
2026-01-08,1541.0,1553.4,1511.5,1511.5,1494.5,1371.2,,,43.5,19.3,24.2,60.2,False
2026-01-09,1488.1,1497.6,1472.6,1485.1,1505.2,1380.7,,,43.8,24.2,19.6,56.6,False
2026-01-13,1554.9,1554.9,1502.1,1551.4,1526.5,1390.9,,,48.7,29.1,19.6,56.7,False
2026-01-14,1555.9,1636.7,1547.9,1619.7,1543.9,1402.3,,,57.5,34.8,22.7,61.2,False
2026-01-15,1604.8,1653.7,1580.8,1653.7,1564.3,1413.8,,,66.5,41.1,25.3,59.2,False
2026-01-16,1655.7,1660.6,1590.8,1604.8,1582.9,1422.5,,,68.8,46.7,22.2,60.8,False
2026-01-19,1564.9,1609.3,1558.4,1604.8,1606.9,1431.4,,,69.9,51.3,18.6,60.2,False
2026-01-20,1627.2,1640.2,1589.3,1616.3,1619.8,1440.7,,,70.8,55.2,15.6,59.0,False
2026-01-21,1565.4,1589.8,1533.0,1589.8,1613.9,1450.9,,,68.7,57.9,10.8,62.7,False
2026-01-22,1601.8,1718.5,1597.3,1691.6,1621.4,1464.9,,,74.3,61.2,13.1,69.6,False
2026-01-23,1695.5,1700.5,1636.7,1661.6,1632.8,1479.4,,,75.5,64.0,11.4,71.6,False
2026-01-26,1609.8,1620.7,1560.4,1560.4,1623.9,1490.8,,,67.4,64.7,2.7,75.6,False
2026-01-27,1533.5,1561.4,1517.0,1561.4,1613.0,1501.9,,,60.5,63.9,-3.4,69.9,False
2026-01-28,1555.9,1558.4,1449.7,1505.5,1596.1,1511.8,,,49.9,61.1,-11.2,72.6,False
2026-01-29,1516.0,1575.4,1481.6,1565.9,1571.0,1524.4,,,45.8,58.0,-12.2,76.3,False
2026-01-30,1577.9,1616.8,1542.9,1609.8,1560.6,1534.6,,,45.6,55.5,-9.9,78.8,False
2026-02-02,1579.4,1622.7,1551.9,1564.9,1561.5,1541.8,,,41.3,52.7,-11.4,78.9,False
2026-02-03,1595.8,1632.7,1579.9,1632.7,1575.8,1552.6,,,42.9,50.7,-7.8,77.4,False
2026-02-04,1605.8,1621.7,1572.4,1615.8,1597.8,1560.4,,,42.4,49.1,-6.7,76.5,False
2026-02-05,1609.8,1646.7,1574.9,1601.3,1604.9,1567.6,,,40.3,47.3,-7.0,76.7,False
2026-02-06,1600.8,1642.7,1595.8,1620.2,1607.0,1575.6,,,39.7,45.8,-6.1,76.4,False
2026-02-09,1700.0,1713.5,1661.6,1690.1,1632.0,1585.9,,,44.3,45.5,-1.2,79.4,False
2026-02-10,1695.5,1762.4,1691.1,1759.9,1657.4,1598.5,,,53.0,47.0,6.0,78.6,False
2026-02-12,1672.1,1676.6,1570.4,1610.8,1656.5,1601.6,,,47.4,47.1,0.3,83.0,False
2026-02-13,1576.4,1586.8,1501.1,1522.0,1640.6,1600.4,,,35.3,44.7,-9.4,86.2,False
2026-02-16,1496.1,1517.5,1456.7,1500.1,1616.6,1600.0,1447.6,1447.6,23.7,40.5,-16.8,83.7,False
2026-02-17,1506.0,1599.8,1501.1,1536.5,1585.8,1602.0,1445.6,1445.6,17.2,35.9,-18.6,87.6,False
2026-02-18,1536.5,1552.9,1521.0,1546.4,1543.1,1601.8,1444.1,1444.1,12.8,31.2,-18.5,81.9,False
2026-02-19,1581.3,1649.2,1555.9,1618.7,1544.7,1601.8,1444.7,1444.7,14.9,28.0,-13.1,82.6,True
2026-02-20,1635.7,1661.6,1596.8,1609.8,1562.3,1600.0,1445.1,1445.1,15.7,25.5,-9.8,81.9,True
2026-02-24,1603.8,1668.6,1586.8,1657.6,1593.8,1602.2,1446.0,1446.0,19.9,24.4,-4.5,82.7,True
2026-02-25,1689.1,1707.5,1627.2,1651.7,1616.9,1604.0,1447.2,1447.2,22.6,24.0,-1.5,83.6,True
2026-02-26,1700.5,1768.9,1694.1,1752.9,1658.1,1609.5,1449.3,1449.3,32.4,25.7,6.7,87.7,True
2026-02-27,1695.5,1853.1,1695.0,1822.7,1698.9,1618.8,1454.0,1454.0,45.4,29.6,15.7,93.8,True
2026-03-02,1742.9,1809.2,1735.4,1779.3,1732.8,1622.3,1458.1,1458.1,51.5,34.0,17.5,96.7,True
2026-03-03,1803.3,1832.2,1719.0,1720.5,1745.4,1624.7,1462.0,1462.0,51.1,37.4,13.6,98.1,True
2026-03-04,1648.7,1691.6,1548.9,1597.3,1734.5,1626.1,1463.8,1463.8,40.3,38.0,2.3,105.2,True
2026-03-05,1675.1,1729.5,1653.7,1686.6,1721.3,1631.2,1466.8,1466.8,38.5,38.1,0.4,101.1,True
2026-03-06,1665.6,1725.5,1655.2,1695.5,1695.8,1638.8,1473.9,1473.9,37.4,38.0,-0.6,98.3,True
2026-03-09,1565.9,1573.9,1496.1,1542.4,1648.5,1637.8,1478.3,1478.3,23.9,35.2,-11.3,107.9,True
2026-03-10,1613.8,1667.6,1581.3,1635.2,1631.4,1638.8,1482.8,1482.8,20.5,32.2,-11.8,109.7,True
2026-03-11,1655.7,1726.5,1646.7,1701.5,1652.3,1644.3,1488.2,1488.2,22.8,30.3,-7.5,114.0,True
2026-03-12,1704.5,1735.9,1596.3,1618.7,1638.7,1643.7,1493.5,1493.5,17.8,27.8,-10.0,116.6,True
2026-03-13,1547.9,1584.3,1510.0,1562.9,1612.2,1641.6,1499.0,1499.0,9.2,24.1,-14.9,119.7,True
2026-03-16,1567.4,1622.7,1559.9,1611.8,1626.0,1642.0,1504.8,1504.8,6.2,20.5,-14.3,118.4,True
2026-03-17,1654.7,1696.5,1610.8,1614.3,1621.8,1641.8,1510.9,1510.9,4.1,17.2,-13.2,118.8,True
2026-03-18,1639.7,1775.3,1602.8,1763.9,1634.3,1644.8,1518.9,1518.9,14.3,16.6,-2.4,122.7,True
2026-03-19,1684.1,1719.5,1654.7,1678.1,1646.2,1641.5,1525.0,1525.0,15.2,16.4,-1.1,119.2,True
2026-03-23,1638.2,1650.2,1541.0,1591.8,1652.0,1640.7,1529.8,1529.8,8.9,14.9,-5.9,122.8,True
2026-03-24,1695.5,1715.5,1595.8,1635.2,1656.6,1645.3,1535.4,1535.4,7.4,13.4,-6.0,123.5,True
2026-03-25,1738.9,1770.4,1716.0,1757.4,1685.3,1655.6,1542.2,1542.2,15.8,13.9,1.9,120.9,True
2026-03-26,1758.4,1863.6,1757.4,1846.7,1701.8,1668.0,1550.2,1550.2,29.3,17.0,12.4,119.1,True
2026-03-27,1833.2,1870.1,1785.8,1845.7,1735.3,1679.9,1557.6,1557.6,39.5,21.5,18.1,120.1,True
2026-03-30,1765.9,1777.3,1696.5,1777.3,1772.4,1686.3,1563.4,1563.4,41.6,25.5,16.1,116.5,True
2026-03-31,1675.6,1727.5,1627.2,1655.2,1776.4,1688.1,1567.3,1567.3,33.1,27.0,6.0,118.3,True
2026-04-01,1734.9,1743.9,1695.0,1743.9,1773.7,1691.5,1572.1,1572.1,33.0,28.2,4.8,118.1,True
2026-04-02,1765.4,1792.8,1676.6,1709.0,1746.2,1693.8,1576.4,1576.4,29.9,28.5,1.3,116.4,True
2026-04-03,1779.3,1798.3,1729.0,1733.4,1723.8,1693.1,1581.1,1581.1,29.0,28.6,0.3,115.0,True
2026-04-06,1709.0,1766.4,1708.0,1741.4,1716.6,1689.8,1586.5,1586.5,28.6,28.6,-0.0,114.7,True
2026-04-07,1760.4,1813.7,1755.9,1758.4,1737.2,1689.0,1592.1,1592.1,29.3,28.8,0.6,113.7,True
