Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MACD,MACD_Signal,MACD_Hist
2025-07-15,10910.0,10915.0,10710.0,10745.0,,,,0.0,0.0,0.0
2025-07-16,10775.0,10910.0,10700.0,10850.0,,,,8.4,1.7,6.7
2025-07-17,10850.0,10970.0,10850.0,10895.0,,,,18.4,5.0,13.4
2025-07-18,11465.0,11470.0,10955.0,11060.0,,,,39.3,11.9,27.4
2025-07-22,10985.0,11090.0,10905.0,11000.0,10910.0,,,50.4,19.6,30.8
2025-07-23,10920.0,11030.0,10835.0,10960.0,10953.0,,,55.3,26.7,28.6
2025-07-24,11040.0,11175.0,10925.0,11080.0,10999.0,,,68.1,35.0,33.1
2025-07-25,11170.0,11380.0,11100.0,11265.0,11073.0,,,92.1,46.4,45.7
2025-07-28,11385.0,11410.0,11210.0,11210.0,11103.0,,,105.5,58.2,47.2
2025-07-29,11225.0,11645.0,11215.0,11600.0,11223.0,,,145.8,75.7,70.1
2025-07-30,11490.0,11610.0,11360.0,11480.0,11327.0,,,166.3,93.8,72.4
2025-07-31,11590.0,11990.0,11545.0,11875.0,11486.0,,,211.9,117.4,94.4
2025-08-01,11890.0,12185.0,11890.0,12145.0,11662.0,,,266.7,147.3,119.4
2025-08-04,11965.0,12270.0,11930.0,12230.0,11866.0,,,313.4,180.5,132.9
2025-08-05,12365.0,12460.0,12030.0,12040.0,11954.0,,,331.3,210.7,120.6
2025-08-06,11910.0,12070.0,11705.0,11775.0,12013.0,,,320.4,232.6,87.8
2025-08-07,11820.0,12080.0,11725.0,12030.0,12044.0,,,328.5,251.8,76.7
2025-08-08,12055.0,12065.0,11905.0,11995.0,12014.0,,,328.4,267.1,61.3
2025-08-12,11925.0,12065.0,11740.0,12055.0,11979.0,,,329.3,279.6,49.7
2025-08-13,11925.0,12115.0,11870.0,11975.0,11966.0,,,319.9,287.6,32.3
2025-08-14,11900.0,11900.0,11765.0,11825.0,11976.0,,,296.9,289.5,7.4
2025-08-15,11700.0,11805.0,11540.0,11805.0,11931.0,,,273.9,286.4,-12.5
2025-08-18,11875.0,12300.0,11855.0,12155.0,11963.0,,,280.7,285.2,-4.5
2025-08-19,12270.0,12270.0,12090.0,12185.0,11989.0,,,285.2,285.2,-0.0
2025-08-20,12095.0,12235.0,11985.0,12190.0,12032.0,11617.0,,285.9,285.4,0.5
