Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MACD,MACD_Signal,MACD_Hist,ATR
2025-08-18,6230.1,6336.4,6207.6,6326.7,,,,0.0,0.0,0.0,
2025-08-19,6321.8,6352.0,6269.1,6345.2,,,,1.5,0.3,1.2,
2025-08-20,6342.3,6351.1,6250.6,6287.6,,,,-2.0,-0.2,-1.8,
2025-08-21,6287.6,6311.1,6187.2,6204.7,,,,-11.3,-2.4,-8.9,
2025-08-22,6221.3,6287.6,6149.1,6280.8,6289.0,,,-12.4,-4.4,-8.0,
2025-08-25,6270.1,6270.1,6212.5,6252.5,6274.2,,,-15.3,-6.6,-8.8,
2025-08-26,6252.5,6252.5,6089.6,6099.4,6225.0,,,-29.7,-11.2,-18.5,
2025-08-27,6113.0,6234.0,6113.0,6182.3,6203.9,,,-34.0,-15.7,-18.2,
2025-08-28,6188.1,6210.6,6141.3,6194.0,6201.8,,,-36.0,-19.8,-16.2,
2025-08-29,6166.7,6238.9,6166.7,6209.6,6187.6,,,-36.0,-23.0,-12.9,
2025-09-01,6112.0,6183.3,6053.5,6089.6,6155.0,,,-45.1,-27.5,-17.7,
2025-09-02,6089.6,6134.5,6052.5,6069.1,6148.9,,,-53.4,-32.6,-20.7,
2025-09-03,6032.0,6089.6,6012.5,6089.6,6130.4,,,-57.6,-37.6,-20.0,
2025-09-04,6090.6,6138.4,6055.5,6091.6,6109.9,,,-60.1,-42.1,-18.0,105.7
2025-09-05,6070.1,6128.6,6021.3,6088.6,6085.7,,,-61.6,-46.0,-15.6,104.2
2025-09-08,6146.2,6204.7,6135.5,6189.1,6105.6,,,-54.1,-47.6,-6.5,106.5
2025-09-09,6191.1,6247.6,6155.0,6165.7,6124.9,,,-49.4,-48.0,-1.4,106.0
2025-09-10,6165.7,6277.9,6165.7,6260.3,6159.1,,,-37.7,-45.9,8.3,105.2
2025-09-11,6198.9,6268.1,6158.9,6199.8,6180.7,,,-32.9,-43.3,10.5,103.1
2025-09-12,6243.7,6299.4,6182.3,6268.1,6216.6,,,-23.3,-39.3,16.0,106.5
2025-09-16,6268.1,6315.0,6236.9,6260.3,6230.9,,,-16.1,-34.7,18.6,100.5
2025-09-17,6242.8,6315.0,6185.2,6224.2,6242.6,,,-13.2,-30.4,17.2,100.1
2025-09-18,6244.7,6290.6,6201.8,6235.0,6237.5,,,-9.9,-26.3,16.4,101.5
2025-09-19,6238.9,6287.6,6157.9,6162.8,6230.1,,,-13.0,-23.6,10.6,105.6
2025-09-22,6129.6,6159.8,6080.8,6081.8,6192.8,6194.3,,-21.7,-23.2,1.5,100.3
2025-09-24,6084.7,6125.7,6005.7,6058.4,6152.4,6183.6,,-30.1,-24.6,-5.5,103.1
2025-09-25,6057.4,6076.9,6019.4,6076.9,6123.0,6172.9,,-34.9,-26.7,-8.3,101.7
2025-09-26,6015.5,6113.0,6009.6,6056.4,6087.3,6163.6,,-39.9,-29.3,-10.6,103.1
2025-09-29,6119.5,6122.4,5930.3,5940.2,6042.7,6153.1,,-52.7,-34.0,-18.7,109.2
2025-09-30,5989.4,6008.2,5923.4,5948.1,6016.0,6139.7,,-61.4,-39.5,-21.9,106.9
2025-10-01,5890.9,5930.3,5840.7,5888.0,5981.9,6125.2,,-72.4,-46.1,-26.3,108.0
2025-10-02,5877.1,5893.9,5783.6,5784.5,5923.4,6112.6,,-88.4,-54.5,-33.8,107.9
2025-10-03,5824.9,5862.4,5740.2,5756.0,5863.4,6095.5,,-102.2,-64.1,-38.1,108.8
2025-10-06,5840.7,5960.9,5788.5,5870.2,5849.4,6082.6,,-102.7,-71.8,-30.9,115.1
2025-10-07,5857.4,5935.3,5804.2,5924.4,5844.6,6071.2,,-97.6,-77.0,-20.7,118.8
2025-10-08,5902.8,6026.9,5887.0,5966.8,5860.4,6066.2,,-89.2,-79.4,-9.8,119.6
2025-10-09,5969.7,6058.4,5961.9,6044.6,5912.4,6065.3,,-75.3,-78.6,3.3,120.1
2025-10-10,5960.9,6022.0,5884.0,5891.9,5939.6,6057.4,,-75.8,-78.0,2.2,122.3
2025-10-14,5861.4,5902.8,5782.6,5843.7,5934.3,6047.4,,-79.1,-78.2,-0.9,125.1
2025-10-15,5847.6,5911.6,5832.8,5894.9,5928.4,6039.7,,-76.8,-78.0,1.2,122.1
2025-10-16,5906.7,5965.8,5809.2,5814.1,5897.8,6024.7,,-80.5,-78.5,-2.0,129.2
2025-10-17,5826.9,5826.9,5745.1,5760.9,5841.1,6008.5,,-86.7,-80.1,-6.6,127.6
2025-10-20,5859.4,5859.4,5770.8,5827.9,5828.3,5991.2,,-85.3,-81.2,-4.1,121.0
2025-10-21,5805.2,5920.5,5799.3,5906.7,5840.9,5979.5,,-76.9,-80.3,3.4,123.6
2025-10-22,5945.1,6030.8,5907.7,6000.3,5862.0,5968.8,,-62.0,-76.6,14.7,124.8
2025-10-23,5969.7,6049.5,5959.9,6010.1,5901.2,5958.8,,-48.8,-71.1,22.3,123.3
2025-10-24,5986.5,6035.7,5955.0,6021.0,5953.2,5950.6,,-37.1,-64.3,27.2,120.3
2025-10-27,6047.6,6115.5,6044.6,6069.2,6001.5,5944.0,,-23.6,-56.1,32.5,112.4
2025-10-28,6052.5,6107.7,5893.9,5922.5,6004.6,5934.4,,-24.5,-49.8,25.3,118.4
2025-10-29,5935.3,5953.0,5757.9,5850.5,5974.7,5925.1,,-30.6,-46.0,15.3,122.3
2025-10-30,5897.8,6039.7,5833.8,6013.1,5975.3,5923.3,,-22.1,-41.2,19.1,130.1
2025-10-31,6080.1,6179.6,6068.3,6143.1,5999.7,5926.0,,-4.8,-33.9,29.1,130.5
2025-11-04,6108.6,6116.5,6014.1,6068.3,5999.5,5926.4,,2.8,-26.6,29.4,131.2
2025-11-05,6082.0,6107.7,5943.1,6064.3,6027.9,5931.4,,8.4,-19.6,28.0,137.3
2025-11-06,5556.0,5723.5,5399.4,5423.0,5942.4,5910.4,,-38.4,-23.4,-15.1,173.6
2025-11-07,5453.5,5600.3,5408.2,5594.4,5858.6,5898.7,,-61.0,-30.9,-30.1,181.5
2025-11-10,5637.8,5642.7,5543.2,5597.4,5749.5,5891.2,,-77.8,-40.3,-37.5,181.5
2025-11-11,5605.3,5681.1,5559.9,5600.3,5655.9,5884.9,,-89.8,-50.2,-39.6,181.5
2025-11-12,5624.0,5753.0,5612.2,5690.0,5581.0,5877.7,,-91.1,-58.4,-32.7,183.6
2025-11-13,5718.5,5755.0,5665.3,5727.4,5641.9,5869.9,,-88.0,-64.3,-23.7,183.6
2025-11-14,5700.8,5769.8,5688.0,5762.9,5675.6,5861.7,,-81.8,-67.8,-14.0,183.7
2025-11-17,5708.7,5822.0,5615.1,5822.0,5720.5,5852.8,,-71.3,-68.5,-2.8,191.7
2025-11-18,5823.0,5855.5,5689.0,5705.7,5741.6,5845.3,,-71.5,-69.1,-2.4,188.3
2025-11-19,5705.7,5860.4,5685.0,5806.2,5764.8,5843.8,,-62.8,-67.8,5.0,186.9
2025-11-20,5861.4,5957.9,5861.4,5941.2,5807.6,5845.7,,-44.5,-63.2,18.6,183.0
2025-11-21,5920.5,6044.6,5918.5,6018.0,5858.6,5853.9,,-23.6,-55.2,31.7,180.1
2025-11-25,6058.4,6107.7,5917.5,5973.7,5889.0,5862.4,,-10.4,-46.3,35.8,184.5
2025-11-26,5918.5,6055.4,5911.6,5982.6,5944.3,5868.6,,0.7,-36.9,37.6,183.0
2025-11-27,6009.1,6043.6,5970.7,5984.5,5980.0,5871.7,,9.5,-27.6,37.2,140.7
2025-11-28,5998.3,6011.1,5892.9,5931.3,5978.0,5868.9,,12.1,-19.7,31.8,135.5
2025-12-01,5909.7,5910.6,5513.6,5661.4,5906.7,5855.0,,-7.5,-17.2,9.7,158.2
2025-12-02,5698.8,5706.7,5473.3,5538.3,5819.6,5835.7,,-32.6,-20.3,-12.3,166.2
2025-12-03,5592.4,5621.0,5551.1,5551.1,5733.3,5814.9,,-50.9,-26.4,-24.5,161.2
2025-12-04,5516.6,5602.3,5516.6,5571.8,5650.8,5800.9,,-63.0,-33.7,-29.3,160.9
2025-12-05,5556.0,5585.6,5427.9,5436.8,5551.9,5784.3,5967.9,-82.5,-43.5,-39.0,166.3
2025-12-08,5399.4,5484.1,5280.2,5483.1,5516.2,5763.1,5956.7,-93.2,-53.4,-39.8,166.1
2025-12-09,5516.6,5516.6,5340.3,5360.9,5480.7,5731.9,5943.6,-110.2,-64.8,-45.4,166.8
2025-12-10,5411.2,5457.5,5372.8,5400.4,5450.6,5705.1,5931.7,-119.2,-75.7,-43.5,161.2
2025-12-11,5430.9,5437.8,5340.3,5341.2,5404.5,5676.2,5920.2,-129.6,-86.5,-43.1,157.3
2025-12-12,5337.3,5405.3,5310.7,5364.9,5390.1,5673.9,5908.0,-134.3,-96.0,-38.3,155.1
2025-12-15,5396.4,5452.6,5357.0,5388.5,5371.2,5665.7,5896.5,-134.6,-103.7,-30.9,148.3
2025-12-16,5348.1,5368.8,5329.4,5341.2,5367.3,5655.4,5886.4,-137.1,-110.4,-26.7,142.3
2025-12-17,5379.7,5417.1,5362.9,5386.6,5364.5,5646.9,5875.8,-133.9,-115.1,-18.8,142.5
2025-12-18,5419.1,5447.6,5387.5,5428.9,5382.0,5636.4,5865.6,-126.4,-117.4,-9.1,138.4
2025-12-19,5432.9,5487.0,5413.2,5465.4,5402.1,5625.9,5855.7,-116.3,-117.2,0.9,113.9
2025-12-22,5469.3,5484.1,5384.6,5419.1,5408.2,5612.2,5846.7,-110.7,-115.9,5.2,104.3
2025-12-23,5447.6,5487.0,5434.8,5437.8,5427.5,5596.8,5838.3,-103.5,-113.4,9.9,103.2
2025-12-24,5458.5,5475.2,5369.8,5395.4,5429.3,5584.4,5829.0,-100.1,-110.7,10.6,104.6
2025-12-25,5407.2,5407.2,5356.0,5387.5,5421.0,5567.7,5819.7,-97.0,-108.0,11.0,97.0
2025-12-26,5397.4,5424.0,5355.0,5375.7,5403.1,5545.0,5810.1,-94.3,-105.2,10.9,87.4
2025-12-29,5378.7,5384.6,5328.4,5367.8,5392.9,5519.0,5799.2,-91.8,-102.6,10.8,78.8
2025-12-30,5378.7,5383.6,5332.4,5333.4,5372.0,5493.4,5788.1,-91.5,-100.3,8.8,75.6
2026-01-05,5352.1,5382.6,5286.1,5309.7,5354.8,5466.5,5775.4,-92.1,-98.7,6.6,75.5
2026-01-06,5320.6,5431.9,5317.6,5418.1,5360.9,5443.9,5765.0,-82.9,-95.6,12.6,77.5
2026-01-07,5319.6,5378.7,5307.8,5342.2,5354.3,5420.3,5752.7,-80.8,-92.6,11.8,78.5
