Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MA_Signal,MACD,MACD_Signal,MACD_Hist,ATR,Is_Weekly_Up
2025-10-17,2567.7,2594.3,2564.3,2567.7,,,,,0.0,0.0,0.0,,False
2025-10-20,2602.5,2618.5,2580.3,2618.5,,,,,4.1,0.8,3.2,,False
2025-10-21,2642.7,2653.3,2600.6,2607.3,,,,,6.3,1.9,4.4,,False
2025-10-22,2597.2,2645.1,2592.4,2639.3,,,,,10.5,3.6,6.9,,False
2025-10-23,2657.7,2718.1,2649.0,2708.0,2628.2,,,,19.2,6.7,12.5,,False
2025-10-24,2720.1,2756.9,2715.2,2756.9,2666.0,,,,29.7,11.3,18.3,,False
2025-10-27,2753.0,2811.0,2736.5,2802.3,2702.8,,,,41.2,17.3,23.9,,False
2025-10-28,2803.3,2818.8,2727.8,2741.4,2729.6,,,,44.9,22.8,22.0,,False
2025-10-29,2752.5,2755.9,2696.9,2696.9,2741.1,,,,43.7,27.0,16.7,,False
2025-10-30,2721.5,2765.6,2716.7,2761.7,2751.8,,,,47.4,31.1,16.3,,False
2025-10-31,2777.2,2778.6,2722.5,2749.1,2750.3,,,,48.8,34.6,14.2,,False
2025-11-04,2751.5,2801.8,2744.8,2778.1,2745.4,,,,51.7,38.0,13.6,,False
2025-11-05,2757.3,2763.1,2668.8,2746.7,2746.5,,,,50.8,40.6,10.2,,False
2025-11-06,2755.9,2804.8,2755.9,2802.8,2767.7,,,,54.0,43.3,10.8,63.4,False
2025-11-07,2786.4,2812.5,2779.1,2801.8,2775.7,,,,55.9,45.8,10.1,63.7,False
2025-11-10,2855.6,2884.6,2855.6,2884.6,2802.8,,,,63.2,49.3,14.0,65.9,False
2025-11-11,2897.2,2904.9,2859.9,2868.1,2820.8,,,,67.0,52.8,14.2,65.4,False
2025-11-12,2895.2,2954.3,2889.9,2922.3,2855.9,,,,73.5,57.0,16.6,67.8,False
2025-11-13,2902.5,2944.6,2890.4,2918.5,2879.1,,,,77.5,61.1,16.4,66.0,False
2025-11-14,3078.1,3099.4,3004.6,3072.3,2933.2,,,,92.0,67.2,24.7,75.4,False
2025-11-17,3072.3,3108.1,3048.1,3074.2,2971.1,,,,102.4,74.3,28.1,74.4,False
2025-11-18,3028.8,3094.6,2980.4,2980.4,2993.5,,,,102.0,79.8,22.1,76.1,False
2025-11-19,3007.5,3028.8,2958.1,2975.5,3004.2,,,,100.0,83.9,16.2,76.9,False
2025-11-20,3009.4,3061.7,3004.6,3033.6,3027.2,,,,102.0,87.5,14.5,78.1,False
2025-11-21,2965.9,3067.5,2963.0,3067.5,3026.2,2823.0,,,105.1,91.0,14.1,81.6,False
2025-11-25,3096.5,3114.9,3065.5,3111.0,3033.6,2844.8,,,109.8,94.8,15.1,81.0,False
2025-11-26,3115.9,3206.8,3112.9,3183.6,3074.2,2867.4,,,118.1,99.4,18.6,80.1,False
2025-11-27,3225.2,3258.1,3202.0,3222.3,3123.6,2892.0,,,126.3,104.8,21.4,81.2,False
2025-11-28,3222.3,3246.5,3213.6,3223.3,3161.5,2915.3,,,131.3,110.1,21.2,81.2,False
2025-12-01,3193.3,3206.8,3079.1,3118.8,3171.8,2931.7,,,125.4,113.2,12.3,85.6,False
2025-12-02,3142.0,3167.1,3069.4,3069.4,3163.5,2944.2,,,115.5,113.6,1.8,89.4,False
2025-12-03,3071.3,3097.5,3031.7,3031.7,3133.1,2953.4,,,103.3,111.6,-8.2,87.9,False
2025-12-04,3090.7,3106.2,3063.6,3106.2,3109.9,2968.0,,,98.6,109.0,-10.4,89.4,False
2025-12-05,3106.2,3109.1,3070.4,3070.4,3079.3,2983.0,,,90.9,105.4,-14.5,79.2,False
2025-12-08,3099.4,3112.9,3077.1,3105.2,3076.6,2996.7,,,86.6,101.6,-15.0,78.0,False
2025-12-09,3074.2,3108.1,3072.3,3095.5,3081.8,3010.6,,,81.5,97.6,-16.1,72.4,False
2025-12-10,3143.9,3159.4,3084.9,3112.9,3098.0,3023.9,,,77.9,93.7,-15.7,72.6,False
2025-12-11,3132.3,3145.8,3102.3,3103.3,3097.5,3038.2,,,73.5,89.6,-16.1,69.6,False
2025-12-12,3089.7,3107.1,3074.2,3081.0,3099.6,3049.3,,,67.4,85.2,-17.8,64.5,False
2025-12-15,3112.9,3124.6,3093.6,3121.7,3102.9,3062.1,,,65.1,81.2,-16.1,64.1,False
2025-12-16,3092.6,3102.3,3020.1,3020.1,3087.8,3067.5,,,54.5,75.8,-21.4,64.5,False
2025-12-17,2970.7,3019.1,2953.3,3004.6,3066.1,3073.0,,,44.3,69.5,-25.2,63.9,False
2025-12-18,3064.6,3071.3,3007.5,3014.2,3048.3,3076.7,,,36.5,62.9,-26.4,66.4,False
2025-12-19,3008.4,3072.3,3006.5,3048.1,3041.7,3081.9,,,32.8,56.9,-24.1,60.8,False
2025-12-22,3090.7,3103.3,3075.2,3089.7,3035.3,3082.6,,,32.8,52.1,-19.3,57.7,False
2025-12-23,3142.0,3154.6,3095.5,3095.5,3050.4,3083.4,,,32.9,48.2,-15.4,57.6,False
2025-12-24,3077.1,3094.6,3048.1,3067.5,3063.0,3086.9,,,30.3,44.6,-14.3,55.7,False
2025-12-25,3073.3,3074.2,3046.2,3055.9,3071.3,3090.1,,,27.0,41.1,-14.1,54.9,False
2025-12-26,3055.9,3060.7,3038.4,3043.3,3070.4,3090.5,,,23.2,37.5,-14.4,53.5,False
2025-12-29,3069.8,3072.8,3032.5,3044.3,3061.3,3089.6,,,20.0,34.0,-14.1,53.8,False
2025-12-30,3054.1,3092.4,3039.3,3074.7,3057.1,3088.1,,,19.6,31.1,-11.5,52.3,False
2026-01-05,3101.3,3135.7,3062.9,3063.9,3056.4,3083.3,,,18.3,28.6,-10.3,54.4,False
2026-01-06,3112.1,3139.6,3100.3,3135.7,3072.4,3079.9,,,22.8,27.4,-4.6,57.4,False
2026-01-07,3117.0,3128.8,2969.5,2969.5,3057.6,3069.7,,,12.8,24.5,-11.7,66.2,False
2026-01-08,2974.4,3029.5,2974.4,2997.1,3048.2,3064.9,,,7.0,21.0,-14.0,63.2,False
2026-01-09,3027.5,3077.7,3017.7,3067.9,3046.8,3064.8,,,8.0,18.4,-10.4,64.2,False
2026-01-13,3123.9,3127.8,3072.8,3108.2,3055.7,3067.9,,,11.9,17.1,-5.2,63.7,False
2026-01-14,3187.8,3220.3,3121.9,3211.4,3070.8,3072.1,,,23.1,18.3,4.8,67.0,False
2026-01-15,3205.5,3232.1,3162.3,3231.1,3123.1,3078.5,,,33.2,21.3,11.9,68.1,False
2026-01-16,3166.2,3180.9,3130.8,3141.6,3152.0,3079.9,,,33.5,23.7,9.8,70.6,False
2026-01-19,3146.5,3168.2,3110.1,3146.5,3167.8,3082.0,,,33.8,25.7,8.1,71.4,False
2026-01-20,3146.5,3155.4,3102.3,3119.0,3169.9,3082.2,,,31.5,26.9,4.6,73.2,False
2026-01-21,3063.9,3142.6,3062.0,3131.8,3154.0,3083.4,,,30.3,27.6,2.7,77.3,False
2026-01-22,3178.0,3199.6,3162.3,3168.2,3141.4,3086.9,,,32.0,28.5,3.5,79.3,False
2026-01-23,3190.8,3198.6,3164.2,3176.0,3148.3,3089.0,,,33.5,29.5,4.0,78.0,False
2026-01-26,3151.4,3175.0,3112.1,3172.1,3153.4,3095.1,,,34.0,30.4,3.6,77.3,False
2026-01-27,3147.5,3213.4,3131.8,3203.6,3170.3,3103.1,,,36.5,31.6,4.9,77.8,False
2026-01-28,3233.1,3320.6,3228.1,3298.9,3203.8,3114.5,,,45.7,34.4,11.3,74.2,False
2026-01-29,3327.4,3376.6,3231.1,3376.6,3245.4,3127.6,,,58.6,39.3,19.3,80.3,False
