Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MA_Signal,MACD,MACD_Signal,MACD_Hist,ATR,Is_Weekly_Up
2025-10-27,3052.2,3228.1,3025.7,3210.7,,,,,0.0,0.0,0.0,,False
2025-10-28,3223.1,3253.0,3166.7,3184.1,,,,,-2.1,-0.4,-1.7,,False
2025-10-29,3279.5,3374.1,3277.0,3335.9,,,,,8.4,1.3,7.0,,False
2025-10-30,3359.1,3482.7,3332.6,3451.2,,,,,25.7,6.2,19.5,,False
2025-10-31,3442.9,3541.6,3403.9,3511.7,3338.7,,,,43.8,13.7,30.0,,False
2025-11-04,3594.7,3596.3,3421.3,3435.4,3383.7,,,,51.4,21.2,30.1,,False
2025-11-05,3214.8,3298.6,3091.2,3253.8,3397.6,,,,42.2,25.4,16.8,,False
2025-11-06,3389.0,3595.5,3356.6,3570.6,3444.6,,,,59.9,32.3,27.5,,False
2025-11-07,3460.3,3574.8,3234.7,3386.5,3431.6,,,,58.3,37.5,20.8,,False
2025-11-10,3465.3,3532.5,3363.3,3402.2,3409.7,,,,57.7,41.6,16.1,,False
2025-11-11,3485.2,3564.8,3176.6,3199.0,3362.4,,,,40.3,41.3,-1.0,,False
2025-11-12,3099.5,3364.1,3015.7,3330.1,3377.7,,,,36.7,40.4,-3.7,,False
2025-11-13,3316.0,3505.9,3292.8,3434.6,3350.5,,,,41.8,40.7,1.2,,False
2025-11-14,3243.0,3302.7,3184.9,3214.8,3316.2,,,,27.8,38.1,-10.3,238.3,False
2025-11-17,3214.8,3325.1,3187.4,3291.1,3293.9,,,,22.6,35.0,-12.4,233.7,False
2025-11-18,3201.5,3213.1,2962.7,2965.1,3247.1,,,,-7.7,26.5,-34.2,251.0,False
2025-11-19,2952.7,3110.3,2838.2,2959.3,3173.0,,,,-31.9,14.8,-46.7,256.8,False
2025-11-20,3291.1,3292.8,3019.9,3133.5,3112.8,,,,-36.5,4.5,-41.1,269.9,False
2025-11-21,2916.2,2939.4,2824.1,2873.9,3044.6,,,,-60.5,-8.5,-52.0,282.2,False
2025-11-25,2984.2,3018.2,2878.1,2883.0,2963.0,,,,-77.8,-22.3,-55.5,280.0,False
2025-11-26,2906.3,3024.0,2889.7,2991.7,2968.3,,,,-81.9,-34.2,-47.6,265.5,False
2025-11-27,3041.5,3046.4,2978.4,3002.5,2976.9,,,,-83.2,-44.0,-39.2,245.9,False
2025-11-28,3025.7,3058.0,2959.3,2977.6,2945.7,,,,-85.3,-52.3,-33.0,228.7,False
2025-12-01,2955.2,2956.9,2687.3,2711.3,2913.2,,,,-107.3,-63.3,-44.0,237.3,False
2025-12-02,2748.7,2823.3,2741.2,2753.6,2887.4,3178.5,,,-119.8,-74.6,-45.2,217.6,False
2025-12-03,2811.7,2872.3,2786.8,2825.0,2854.0,3163.1,,,-122.6,-84.2,-38.4,201.2,False
2025-12-04,2790.1,2871.4,2788.5,2811.7,2815.9,3148.2,,,-124.5,-92.3,-32.2,191.9,False
2025-12-05,2836.6,2892.2,2785.2,2861.5,2792.6,3129.2,,,-120.5,-97.9,-22.6,181.7,False
2025-12-08,2936.1,3083.8,2893.0,3061.4,2862.6,3113.6,,,-100.1,-98.4,-1.8,187.7,False
2025-12-09,3071.3,3080.4,2963.5,3063.8,2924.7,3095.7,,,-82.8,-95.3,12.4,172.6,False
2025-12-10,3126.9,3146.8,2992.5,3062.2,2972.1,3080.8,,,-68.4,-89.9,21.5,164.2,False
2025-12-11,3085.4,3163.4,3009.1,3022.4,3014.3,3071.5,,,-59.6,-83.8,24.3,151.4,False
2025-12-12,3068.8,3083.8,2996.7,3068.8,3055.7,3051.5,,,-48.2,-76.7,28.5,135.5,False
2025-12-15,2902.9,2982.6,2867.3,2934.5,3030.3,3033.4,,,-49.5,-71.3,21.8,139.6,False
2025-12-16,2840.7,2859.0,2713.0,2737.1,2965.0,3006.8,,,-65.7,-70.1,4.5,145.4,False
2025-12-17,2737.9,2763.6,2643.3,2741.2,2900.8,2988.5,,,-77.3,-71.6,-5.7,149.1,False
2025-12-18,2620.9,2692.3,2610.2,2647.5,2825.8,2961.2,,,-93.0,-75.9,-17.1,151.4,False
2025-12-19,2676.5,2800.1,2666.6,2758.6,2763.8,2934.1,,,-95.4,-79.8,-15.6,141.6,False
2025-12-22,2873.9,2960.2,2847.4,2950.2,2766.9,2923.5,,,-80.8,-80.0,-0.9,148.0,False
2025-12-23,2952.7,2966.0,2907.1,2959.3,2811.4,2910.3,,,-67.8,-77.5,9.7,143.7,False
2025-12-24,2959.3,3024.0,2949.4,2997.5,2862.6,2911.6,,,-53.8,-72.8,19.0,143.1,False
2025-12-25,2966.8,2987.5,2896.3,2922.8,2917.7,2910.1,,,-48.2,-67.9,19.7,142.7,False
2025-12-26,2934.5,2945.2,2825.0,2846.5,2935.3,2898.6,,,-49.3,-64.1,14.9,135.4,False
