Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MACD,MACD_Signal,MACD_Hist,ATR
2025-09-01,1811.2,1816.1,1792.8,1804.4,,,,0.0,0.0,0.0,
2025-09-02,1820.5,1856.0,1810.8,1851.6,,,,3.8,0.8,3.0,
2025-09-03,1855.5,1856.4,1785.0,1794.2,,,,2.1,1.0,1.1,
2025-09-04,1795.2,1817.1,1786.9,1811.2,,,,2.1,1.2,0.9,
2025-09-05,1834.1,1835.5,1812.7,1820.5,1816.4,,,2.8,1.6,1.3,
2025-09-08,1811.2,1835.5,1803.0,1835.5,1822.6,,,4.6,2.2,2.4,
2025-09-09,1836.0,1844.8,1817.1,1822.4,1816.8,,,4.9,2.7,2.1,
2025-09-10,1824.9,1860.3,1824.4,1851.6,1828.3,,,7.3,3.6,3.7,
2025-09-11,1848.7,1856.4,1829.7,1835.5,1833.1,,,7.9,4.5,3.4,
2025-09-12,1846.7,1847.2,1833.1,1836.5,1836.3,,,8.4,5.3,3.1,
2025-09-16,1827.3,1835.1,1814.2,1821.5,1833.5,,,7.4,5.7,1.7,
2025-09-17,1799.6,1812.7,1781.6,1804.0,1829.8,,,5.2,5.6,-0.4,
2025-09-18,1810.3,1811.7,1765.6,1765.6,1812.6,,,0.3,4.5,-4.2,
2025-09-19,1754.9,1761.7,1717.0,1742.7,1794.0,,,-5.3,2.6,-7.9,35.5
2025-09-22,1748.1,1776.3,1734.0,1735.4,1773.8,,,-10.3,-0.0,-10.3,36.8
2025-09-24,1746.1,1758.8,1735.9,1758.8,1761.3,,,-12.2,-2.4,-9.7,34.8
2025-09-25,1770.4,1786.9,1759.2,1775.3,1755.6,,,-12.2,-4.4,-7.8,31.7
2025-09-26,1776.7,1798.1,1768.5,1784.0,1759.2,,,-11.4,-5.8,-5.6,31.7
2025-09-29,1785.5,1788.4,1767.5,1782.1,1767.1,,,-10.7,-6.8,-4.0,31.4
2025-09-30,1758.3,1776.7,1743.7,1763.6,1772.8,,,-11.6,-7.7,-3.9,31.9
2025-10-01,1750.0,1759.2,1718.4,1722.8,1765.6,,,-15.4,-9.3,-6.1,33.1
2025-10-02,1717.9,1722.3,1693.6,1693.6,1749.2,,,-20.6,-11.5,-9.0,32.5
2025-10-03,1700.9,1724.3,1699.0,1715.5,1735.5,,,-22.6,-13.7,-8.8,32.8
2025-10-06,1715.5,1731.1,1679.1,1720.4,1723.2,,,-23.5,-15.7,-7.8,35.5
2025-10-07,1736.4,1749.0,1721.3,1722.8,1715.0,1782.9,,-23.8,-17.3,-6.5,35.9
2025-10-08,1740.8,1747.1,1717.5,1722.3,1714.9,1779.6,,-23.8,-18.6,-5.2,35.2
2025-10-09,1722.3,1727.2,1695.1,1703.4,1716.9,1773.7,,-25.1,-19.9,-5.1,34.2
2025-10-10,1680.5,1691.2,1655.2,1662.5,1706.3,1768.4,,-29.0,-21.7,-7.3,34.2
2025-10-14,1633.9,1657.2,1629.0,1652.8,1692.8,1762.0,,-32.5,-23.9,-8.6,33.5
2025-10-15,1670.3,1671.3,1650.9,1661.1,1680.4,1755.7,,-34.3,-26.0,-8.3,33.3
2025-10-16,1671.8,1679.5,1654.8,1659.1,1667.8,1748.6,,-35.4,-27.8,-7.5,33.1
2025-10-17,1624.1,1635.8,1612.5,1614.9,1650.1,1740.3,,-39.4,-30.2,-9.2,34.3
2025-10-20,1650.9,1678.6,1637.3,1678.6,1653.3,1733.4,,-37.0,-31.5,-5.5,37.4
2025-10-21,1676.6,1685.4,1668.4,1671.3,1657.0,1726.8,,-35.3,-32.3,-3.0,35.8
2025-10-22,1668.4,1690.2,1663.5,1682.9,1661.4,1720.7,,-32.6,-32.3,-0.3,34.5
2025-10-23,1680.0,1680.5,1668.4,1670.8,1663.7,1714.7,,-31.1,-32.1,1.0,33.5
2025-10-24,1673.7,1680.5,1668.9,1670.8,1674.9,1709.3,,-29.6,-31.6,2.0,32.1
2025-10-27,1691.7,1700.0,1678.6,1679.5,1675.1,1705.9,,-27.4,-30.8,3.4,30.5
2025-10-28,1686.8,1692.7,1670.3,1670.3,1674.9,1703.0,,-26.0,-29.8,3.8,30.0
2025-10-29,1668.9,1673.2,1646.5,1652.8,1668.9,1699.7,,-26.1,-29.1,3.0,29.8
2025-10-30,1658.6,1684.4,1654.3,1671.3,1669.0,1696.2,,-24.4,-28.1,3.8,29.8
2025-10-31,1671.8,1684.9,1664.0,1679.5,1670.7,1692.4,,-22.1,-26.9,4.8,27.8
2025-11-04,1674.7,1690.7,1645.0,1690.7,1672.9,1688.6,,-19.2,-25.4,6.2,28.7
2025-11-05,1695.1,1696.1,1650.9,1687.3,1676.3,1684.8,,-16.9,-23.7,6.8,30.5
2025-11-06,1689.3,1730.6,1688.3,1722.8,1690.3,1683.2,,-12.1,-21.4,9.2,31.8
2025-11-07,1704.8,1721.3,1697.0,1707.2,1697.5,1682.6,,-9.5,-19.0,9.5,30.3
2025-11-10,1730.1,1730.1,1698.0,1707.2,1703.1,1683.1,,-7.3,-16.6,9.3,28.0
2025-11-11,1707.7,1708.2,1673.7,1678.1,1700.5,1681.6,,-7.8,-14.9,7.1,29.3
2025-11-12,1688.8,1708.2,1682.9,1700.0,1703.1,1680.8,,-6.4,-13.2,6.8,29.5
2025-11-13,1711.6,1725.2,1702.9,1722.8,1703.1,1680.8,,-3.4,-11.2,7.8,30.3
2025-11-14,1710.2,1718.9,1693.2,1708.2,1703.3,1680.2,,-2.2,-9.4,7.2,31.6
2025-11-17,1663.5,1689.3,1658.2,1689.3,1699.7,1679.7,,-2.7,-8.1,5.4,33.1
2025-11-18,1673.7,1685.9,1657.2,1657.2,1695.5,1679.5,,-5.6,-7.6,1.9,33.8
2025-11-19,1662.0,1691.2,1655.2,1673.7,1690.2,1680.3,,-6.6,-7.4,0.8,34.4
2025-11-20,1694.1,1704.8,1689.8,1701.4,1686.0,1681.9,,-5.0,-6.9,1.9,34.4
2025-11-21,1702.9,1722.8,1695.1,1715.0,1687.3,1684.2,,-2.6,-6.1,3.4,34.9
2025-11-25,1763.1,1765.1,1726.2,1736.9,1696.8,1689.0,,1.0,-4.6,5.6,35.2
2025-11-26,1764.1,1819.5,1753.4,1815.1,1728.4,1694.5,,10.1,-1.7,11.8,37.9
2025-11-27,1814.6,1843.3,1809.8,1827.3,1759.1,1700.7,,18.0,2.2,15.8,37.2
2025-11-28,1817.6,1836.5,1810.3,1824.9,1783.8,1706.4,,23.9,6.6,17.3,37.2
2025-12-01,1842.8,1899.7,1839.9,1871.0,1815.0,1714.4,,31.9,11.6,20.2,40.3
2025-12-02,1899.2,1922.5,1873.5,1879.3,1843.5,1722.8,,38.4,17.0,21.4,41.5
2025-12-03,1879.8,1880.7,1845.8,1856.0,1851.7,1729.8,,41.2,21.8,19.4,41.8
2025-12-04,1844.8,1921.6,1841.9,1909.4,1868.1,1739.4,,47.3,26.9,20.3,45.7
2025-12-05,1908.0,1910.9,1886.6,1904.6,1884.0,1749.4,,51.0,31.7,19.3,45.3
