Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MACD,MACD_Signal,MACD_Hist
2025-07-14,1315.0,1334.8,1310.0,1331.8,,,,0.0,0.0,0.0
2025-07-15,1391.3,1428.0,1370.5,1387.3,,,,4.4,0.9,3.5
2025-07-16,1411.1,1429.9,1375.4,1413.1,,,,9.9,2.7,7.2
2025-07-17,1419.0,1444.8,1404.2,1435.9,,,,15.9,5.3,10.6
2025-07-18,1427.0,1469.6,1417.1,1424.0,1398.4,,,19.5,8.2,11.3
2025-07-22,1453.7,1492.4,1441.8,1473.5,1426.8,,,26.0,11.7,14.3
2025-07-23,1485.4,1533.0,1466.6,1496.3,1448.6,,,32.6,15.9,16.7
2025-07-24,1488.4,1557.8,1485.4,1525.1,1471.0,,,39.7,20.7,19.1
2025-07-25,1520.1,1539.9,1498.3,1522.1,1488.2,,,44.6,25.5,19.2
2025-07-28,1520.1,1526.1,1499.3,1519.1,1507.2,,,47.7,29.9,17.8
2025-07-29,1531.0,1531.0,1477.5,1491.4,1510.8,,,47.4,33.4,14.0
2025-07-30,1471.6,1500.3,1465.6,1500.3,1511.6,,,47.3,36.2,11.1
2025-07-31,1500.3,1540.9,1489.4,1516.2,1509.8,,,47.9,38.5,9.4
2025-08-01,1506.2,1540.9,1486.4,1526.1,1510.6,,,48.7,40.6,8.1
2025-08-04,1486.4,1514.2,1473.5,1510.2,1508.8,,,47.4,41.9,5.5
2025-08-05,1536.0,1543.9,1516.2,1540.9,1518.7,,,48.4,43.2,5.2
2025-08-06,1543.9,1565.7,1527.1,1538.9,1526.5,,,48.4,44.3,4.2
2025-08-07,1536.0,1538.0,1511.2,1533.0,1529.8,,,47.4,44.9,2.5
2025-08-08,1564.7,1600.4,1526.1,1547.9,1534.2,,,47.3,45.4,1.9
2025-08-12,1555.8,1560.7,1519.1,1541.9,1540.5,,,46.2,45.5,0.6
2025-08-13,1545.9,1562.7,1527.1,1530.0,1538.4,,,43.8,45.2,-1.4
2025-08-14,1518.1,1554.8,1518.1,1539.9,1538.5,,,42.3,44.6,-2.3
2025-08-15,1542.9,1596.4,1536.0,1585.5,1549.1,,,44.2,44.5,-0.3
2025-08-18,1664.8,1698.5,1644.0,1675.7,1574.6,,,52.4,46.1,6.3
2025-08-19,1681.6,1749.0,1676.7,1725.2,1611.3,1513.3,,62.2,49.3,12.9
2025-08-20,1696.5,1729.2,1684.6,1722.3,1649.7,1528.9,,68.9,53.2,15.7
2025-08-21,1747.0,1767.9,1695.5,1697.5,1681.2,1541.3,,71.4,56.9,14.5
