Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MA_Signal,MACD,MACD_Signal,MACD_Hist,ATR,Is_Weekly_Up
2025-09-29,7822.8,7931.7,7753.5,7842.6,,,,,0.0,0.0,0.0,,False
2025-09-30,7872.3,7941.6,7694.1,7694.1,,,,,-11.8,-2.4,-9.5,,False
2025-10-01,7684.2,7743.6,7436.6,7496.0,,,,,-36.8,-9.3,-27.5,,False
2025-10-02,7456.4,7575.2,7307.9,7387.1,,,,,-64.6,-20.3,-44.3,,False
2025-10-03,7397.0,7426.7,7288.1,7367.3,7557.4,,,,-87.2,-33.7,-53.5,,False
2025-10-06,7664.4,7694.1,7416.8,7634.7,7515.8,,,,-82.7,-43.5,-39.2,,False
2025-10-07,7634.7,7872.3,7604.9,7694.1,7515.8,,,,-73.4,-49.5,-23.9,,False
2025-10-08,7545.5,8010.9,7486.1,7882.2,7593.1,,,,-50.3,-49.6,-0.6,,False
2025-10-09,7911.9,7971.3,7783.2,7803.0,7676.2,,,,-37.9,-47.3,9.4,,False
2025-10-10,7704.0,7822.8,7664.4,7723.8,7747.5,,,,-34.1,-44.7,10.5,,False
2025-10-14,7525.7,7644.6,7298.0,7317.8,7684.2,,,,-63.1,-48.4,-14.8,,False
2025-10-15,7357.4,7416.8,7248.5,7248.5,7595.0,,,,-90.7,-56.8,-33.9,,False
2025-10-16,7278.2,7357.4,7179.2,7278.2,7474.2,,,,-108.9,-67.2,-41.6,,False
2025-10-17,7149.4,7169.2,6931.6,6991.0,7311.8,,,,-144.8,-82.7,-62.0,265.9,False
2025-10-20,7139.5,7179.2,7060.3,7119.7,7191.0,,,,-161.0,-98.4,-62.6,266.7,False
2025-10-21,7119.7,7189.1,7000.9,7060.3,7139.5,,,,-176.6,-114.0,-62.6,262.4,False
2025-10-22,7070.2,7169.2,7020.7,7109.8,7111.8,,,,-182.9,-127.8,-55.1,251.1,False
2025-10-23,7060.3,7307.9,7050.4,7149.4,7086.1,,,,-182.5,-138.7,-43.8,250.4,False
2025-10-24,7189.1,7307.9,7179.2,7199.0,7127.7,,,,-176.2,-146.2,-30.0,251.8,False
2025-10-27,7327.7,7406.9,7258.4,7406.9,7185.1,,,,-152.7,-147.5,-5.2,243.3,False
2025-10-28,7258.4,7317.8,7149.4,7149.4,7202.9,,,,-153.1,-148.7,-4.4,242.6,False
2025-10-29,7218.8,7357.4,7159.3,7159.3,7212.8,,,,-150.8,-149.1,-1.8,220.0,False
2025-10-30,7218.8,7545.5,7208.9,7476.2,7278.2,,,,-122.1,-143.7,21.6,234.1,False
2025-10-31,7476.2,7565.3,7327.7,7446.5,7327.7,,,,-100.5,-135.1,34.5,239.8,False
2025-11-04,7595.0,7951.5,7545.5,7664.4,7379.2,7412.1,,,-65.1,-121.1,55.9,245.4,False
2025-11-05,7367.3,7555.4,7090.0,7545.5,7458.4,7400.2,,,-46.1,-106.1,60.0,274.4,False
2025-11-06,7634.7,7941.6,7595.0,7842.6,7595.0,7406.1,,,-7.0,-86.3,79.3,290.0,False
2025-11-07,7565.3,7694.1,7466.3,7595.0,7618.8,7410.1,,,4.0,-68.2,72.2,292.1,False
2025-11-10,7892.1,8070.4,7793.1,7931.7,7715.9,7431.9,,,39.4,-46.7,86.1,312.6,False
2025-11-11,8080.3,8268.4,7763.4,7872.3,7757.4,7452.1,,,61.9,-25.0,86.9,335.3,False
2025-11-12,7902.0,9357.7,7624.8,9357.7,8119.9,7521.0,,,197.4,19.5,177.9,448.4,False
2025-11-13,10545.9,10843.0,10407.3,10843.0,8719.9,7646.9,,,419.8,99.6,320.2,536.1,False
2025-11-14,10526.1,11348.0,10248.9,10694.5,9339.8,7759.4,,,577.3,195.1,382.2,603.3,False
2025-11-17,10654.9,10951.9,10476.6,10892.5,9932.0,7883.0,,,710.0,298.1,411.9,622.4,False
2025-11-18,10595.4,10773.7,10060.7,10060.7,10369.7,7976.5,,,739.5,386.4,353.2,663.5,False
2025-11-19,10110.2,10872.7,9813.2,10229.1,10543.9,8092.9,,,767.7,462.6,305.0,724.3,False
2025-11-20,10892.5,10951.9,10427.1,10595.4,10494.4,8226.8,,,810.2,532.1,278.0,748.3,False
2025-11-21,9862.7,10298.4,9862.7,10159.7,10387.5,8342.1,,,799.5,585.6,213.9,783.7,False
2025-11-25,10268.7,10555.8,9852.8,10120.1,10233.0,8467.2,,,778.8,624.3,154.6,797.8,False
2025-11-26,10239.0,10734.1,10179.5,10664.8,10353.8,8609.0,,,797.2,658.9,138.4,800.7,False
2025-11-27,10625.1,10734.1,10585.5,10724.2,10452.8,8755.6,,,807.3,688.5,118.8,783.0,False
2025-11-28,10734.1,10823.2,10506.3,10555.8,10444.9,8893.4,,,792.6,709.4,83.2,778.7,False
2025-12-01,10724.2,11318.3,10724.2,11070.7,10627.1,9050.3,,,813.1,730.1,83.0,799.3,False
2025-12-02,10991.5,11308.4,10932.1,11120.3,10827.2,9207.1,,,823.8,748.8,75.0,790.1,False
2025-12-03,11130.2,11239.1,10744.0,10813.3,10856.9,9343.4,,,798.4,758.7,39.6,701.6,False
