Date,Action,Price,Reason,Profit,Capital
2025-12-26,BUY,4396.4,ゴールデンクロス,0.0,1.0
2026-01-08,SELL,4476.8,トレーリングストップ,80.4,1.0183
2026-01-26,BUY,4128.2,MACD上抜け,0.0,1.0183
2026-02-05,SELL,3921.8,ハードストップ,-206.4,0.9674
2026-02-12,BUY,4748.4,ゴールデンクロス,0.0,0.9674
2026-02-16,SELL,4402.9,ハードストップ,-345.5,0.897
2026-03-26,BUY,3994.4,MACD上抜け,0.0,0.897
2026-03-30,SELL,3700.0,ハードストップ,-294.4,0.8309
2026-04-13,BUY,3700.0,ゴールデンクロス,0.0,0.8309
2026-04-28,SELL,5660.0,トレーリングストップ,1960.0,1.271
2026-05-26,BUY,7021.0,MACD上抜け,0.0,1.271
2026-05-27,HOLDING,,POS_OPEN,0.0,1.271
