Date,Action,Price,Reason,Profit
2025-11-25,BUY,1575.5,MACD上抜け,0.0
2025-12-02,SELL,1617.8,TRAILING_STOP(1617.8),42.3
2025-12-12,BUY,1547.9,押し目買い,0.0
2025-12-17,SELL,1470.5,HARD_STOP,-77.4
2026-01-07,BUY,1557.7,MACD上抜け,0.0
2026-01-19,SELL,1657.6,TRAILING_STOP(1657.6),99.9
2026-01-29,BUY,1610.4,押し目買い,0.0
2026-02-13,SELL,2079.0,TRAILING_STOP(2079.0),468.6
2026-04-07,BUY,1785.0,MACD上抜け,0.0
2026-04-16,SELL,1695.8,HARD_STOP,-89.2
2026-04-30,BUY,1792.0,MACD上抜け,0.0
2026-05-07,SELL,1840.0,FINAL_SELL,48.0
