Date,Action,Price,Reason,Profit,Capital
2025-12-30,BUY,2912.1,モメンタム + 短期MA反発,0.0,1.0
2026-01-05,SELL,3002.5,短期MA割れ(トレンド転換),90.4,1.031
2026-01-06,BUY,3097.0,モメンタム + 短期MA反発,0.0,1.031
2026-01-08,SELL,2942.1,ハードストップ,-154.9,0.9795
2026-03-12,BUY,4209.3,モメンタム + 短期MA反発,0.0,0.9795
2026-03-18,SELL,4147.1,短期MA割れ(トレンド転換),-62.2,0.965
2026-03-19,BUY,4195.2,モメンタム + 短期MA反発,0.0,0.965
2026-03-23,SELL,3985.4,ハードストップ,-209.8,0.9167
2026-03-26,BUY,4589.1,モメンタム + 短期MA反発,0.0,0.9167
2026-03-30,SELL,4359.6,ハードストップ,-229.5,0.8709
2026-04-06,BUY,4679.0,モメンタム + 短期MA反発,0.0,0.8709
2026-04-07,SELL,4445.0,ハードストップ,-234.0,0.8273
2026-04-09,BUY,4806.0,モメンタム + MACD,0.0,0.8273
2026-04-21,SELL,5577.0,短期MA割れ(トレンド転換),771.0,0.9601
2026-04-27,BUY,6037.0,モメンタム + 短期MA反発,0.0,0.9601
2026-05-01,SELL,5983.0,短期MA割れ(トレンド転換),-54.0,0.9515
2026-05-08,BUY,6428.0,モメンタム + MACD,0.0,0.9515
2026-05-15,SELL,6106.6,ハードストップ,-321.4,0.9039
