Date,Action,Price,Reason,Profit,Capital
2025-12-04,BUY,1268.0,MACD上抜け,0.0,1.0
2025-12-05,SELL,1287.2,トレーリングストップ,19.2,1.0151
2025-12-29,BUY,1200.0,ゴールデンクロス,0.0,1.0151
2025-12-30,SELL,1236.9,トレーリングストップ,36.9,1.0464
2026-01-05,BUY,1251.0,MACD上抜け,0.0,1.0464
2026-01-13,SELL,1383.2,トレーリングストップ,132.2,1.1569
2026-02-06,BUY,1770.0,MACD上抜け,0.0,1.1569
2026-02-13,SELL,1930.4,トレーリングストップ,160.4,1.2618
2026-04-03,BUY,2114.0,ゴールデンクロス,0.0,1.2618
2026-04-07,SELL,2192.6,トレーリングストップ,78.6,1.3087
2026-05-11,BUY,2980.0,MACD上抜け,0.0,1.3087
2026-05-15,SELL,2804.0,ハードストップ,-176.0,1.2314
