Date,Action,Price,Reason,Profit,Capital
2025-12-22,BUY,3023.5,MACD上抜け,0.0,1.0
2025-12-25,SELL,2872.3,ハードストップ,-151.2,0.95
2026-01-15,BUY,3185.8,MACD上抜け,0.0,0.95
2026-01-23,SELL,3026.5,ハードストップ,-159.3,0.9025
2026-01-30,BUY,2988.6,押し目買い,0.0,0.9025
2026-02-24,SELL,3452.1,トレーリングストップ,463.5,1.0425
2026-03-16,BUY,3750.0,MACD上抜け,0.0,1.0425
2026-03-19,SELL,3562.5,ハードストップ,-187.5,0.9903
2026-04-09,BUY,3638.0,MACD上抜け,0.0,0.9903
2026-04-20,SELL,3815.2,トレーリングストップ,177.2,1.0386
2026-05-26,BUY,3659.0,MACD上抜け,0.0,1.0386
2026-05-29,HOLDING,3883.0,POS_OPEN,0.0,1.0386
